FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TYPE,STATUS,POPULATION,COUNTY,COUNTRY,SECURELVL
"10006329",TOMOKA CRC 298,1341 INDIAN LAKE ROAD,DAYTONA BEACH,FL,"32124","-999",STATE,OPEN,"57",VOLUSIA,USA,NOT AVAILABLE
"10001732",JOSEPH HARP CORRECTIONAL CENTER,16161 MOFFAT RD,LEXINGTON,OK,"73051","548",STATE,OPEN,"1249",CLEVELAND,USA,MEDIUM
"10001729",JOHN H LILLEY CORRECTIONAL CENTER,407971 HWY 62E,BOLEY,OK,"74829","-999",STATE,OPEN,"823",OKFUSKEE,USA,MINIMUM
"10001733",LEXINGTON ASSESSMENT AND RECEPTION CENTER,15151 STATE HWY 39,LEXINGTON,OK,"73051","-999",STATE,OPEN,"499",CLEVELAND,USA,MAXIMUM
"10003121",SCI GREENE,175 PROGRESS DR,WAYNESBURG,PA,"15370","-999",STATE,OPEN,"1695",GREENE,USA,CLOSE
"10004556",SANTA ROSA WORK CAMP,5850 EAST MILTON ROAD,MILTON,FL,"32583","-999",STATE,OPEN,"415",SANTA ROSA,USA,NOT AVAILABLE
"10004585",LOWELL WORK CAMP,11120 NW GAINESVILLE RD,OCALA,FL,"34482","-999",STATE,OPEN,"336",MARION,USA,NOT AVAILABLE
"10000433",CROSS CITY WORK CAMP,568 NE 255TH ST,CROSS CITY,FL,"32628","-999",STATE,OPEN,"280",DIXIE,USA,NOT AVAILABLE
"10000441",MARION WORK CAMP,PO BOX 158,LOWELL,FL,"32663","158",STATE,OPEN,"274",MARION,USA,NOT AVAILABLE
"10005222",SCRANTON COMMUNITY CORRECTIONS CENTER,240 ADAMS AVE,SCRANTON,PA,"18503","-999",STATE,OPEN,"0",LACKAWANNA,USA,NOT AVAILABLE
"10001713",BLEDSOE COUNTY CORRECTIONAL COMPLEX,1045 HORSEHEAD RD,PIKEVILLE,TN,"37367","-999",STATE,OPEN,"2427",BLEDSOE,USA,MAXIMUM
"10001145",MCCORMICK CORRECTIONAL INSTITUTION,386 REDEMPTION WAY,MCCORMICK,SC,"29899","-999",STATE,OPEN,"915",MCCORMICK,USA,MAXIMUM
"10001725",JESS DUNN CORRECTIONAL CENTER,601 S 124TH ST W,TAFT,OK,"74463","316",STATE,OPEN,"1109",MUSKOGEE,USA,MINIMUM
"10000737",SCI SOMERSET,1590 WALTERS MILL RD,SOMERSET,PA,"15510","1",STATE,OPEN,"2394",SOMERSET,USA,MEDIUM
"10004649",MIAMI NORTH COMMUNITY RELEASE CENTER,7090 NORTHWEST 41ST ST,MIAMI,FL,"33166","6817",STATE,OPEN,"176",MIAMI-DADE,USA,MINIMUM
"10000413",GULF FORESTRY CAMP,3222 DOC WHITFIELD RD,WHITE CITY,FL,"32465","-999",STATE,OPEN,"287",GULF,USA,NOT AVAILABLE
"10006168",SAGO PALM RE-ENTRY CENTER,500 BAY BOTTOM ROAD,PAHOKEE,FL,"33476","-999",STATE,OPEN,"365",PALM BEACH,USA,MEDIUM
"10001022",NORTH CAROLINA CORRECTIONAL INSTITUTION FOR WOMEN - MINIMUM,1201 S STATE ST,RALEIGH,NC,"27610","-999",STATE,OPEN,"-999",WAKE,USA,MINIMUM
"10000252",WILLACY COUNTY STATE JAIL,1695 S BUFFALO DR,RAYMONDVILLE,TX,"78580","-999",STATE,OPEN,"1068",WILLACY,USA,MEDIUM
"10004589",CITRUS COUNTY DETENTION FACILITY,2604 WEST WOODLAND RIDGE DRIVE,LECANTO,FL,"34461","-999",MULTI,OPEN,"502",CITRUS,USA,NOT AVAILABLE
"10002817",HILLTOP UNIT,1500 STATE SCHOOL RD,GATESVILLE,TX,"76598","2996",STATE,OPEN,"448",CORYELL,USA,MEDIUM
"10001555",VOLUNTEERS OF AMERICA-CHESAPEAKE RESIDENTIAL RE-ENTRY CENTER,5000 EAST MONUMENT ST,BALTIMORE,MD,"21205","-999",STATE,OPEN,"-999",BALTIMORE (CITY),USA,MINIMUM
"10000219",T DON HUTTO RESIDENTIAL CENTER,1001 WELCH ST,TAYLOR,TX,"76574","-999",FEDERAL,OPEN,"461",WILLIAMSON,USA,MINIMUM
"10002885",VANCE UNIT,2 JESTER RD,RICHMOND,TX,"77406","-999",STATE,OPEN,"329",FORT BEND,USA,MEDIUM
"10004017",SOUTHERN STATE CORRECTIONAL FACILITY,4295 N DELSEA DR,DELMONT,NJ,"8314","-999",STATE,OPEN,"1689",CUMBERLAND,USA,MEDIUM
"10006348",BURKE CRV CENTER,5161 WESTERN AVE,MORGANTON,NC,"28655","-999",STATE,OPEN,"155",BURKE,USA,MINIMUM
"10000060",NORTH CENTRAL UNIT,10 PRISON CIRCLE,CALICO ROCK,AR,"72519","-999",STATE,OPEN,"811",IZARD,USA,MEDIUM
"10004181",MARION MINIMUM SECURITY UNIT,4019 STATE HWY 226 S,MARION,NC,"28752","-999",STATE,OPEN,"-999",MCDOWELL,USA,MINIMUM
"10001751",CALEDONIA CORRECTIONAL INSTITUTION - MINIMUM,"1984 CALEDONIA DR, STATE RD 1141",TILLERY,NC,"27882","-999",STATE,OPEN,"-999",HALIFAX,USA,MINIMUM
"10000533",HOLLYWOOD WORK RELEASE CENTER,8501 W CYPRESS DR,PEMBROKE PINES,FL,"33025","4542",STATE,OPEN,"156",BROWARD,USA,MINIMUM
"10000519",ATLANTIC COMMUNITY RELEASE CENTER,263 FAIRGROUNDS RD,WEST PALM BEACH,FL,"33411","3639",STATE,OPEN,"44",PALM BEACH,USA,MINIMUM
"10002904",KARNES COUNTY CORRECTIONAL CENTER,810 COMMERCE ST,KARNES CITY,TX,"78118","-999",MULTI,OPEN,"-999",KARNES,USA,MAXIMUM
"10002851",VAL VERDE CORRECTIONAL FACILITY,253 FM 2523 HAMILTON LANE,DEL RIO,TX,"78840","-999",MULTI,OPEN,"116",VAL VERDE,USA,MEDIUM
"10002556",BLACK RIVER CORRECTIONAL CENTER,W6898 E STAFFON RD,BLACK RIVER FALLS,WI,"54615","6426",STATE,OPEN,"130",JACKSON,USA,MINIMUM
"10000417",UNION CORRECTIONAL INSTITUTION,25636 NE SR-16,RAIFORD,FL,"32083","-999",STATE,OPEN,"1525",UNION,USA,MAXIMUM
"10003587",OKLAHOMA STATE REFORMATORY,1700 E FIRST ST,GRANITE,OK,"73547","514",STATE,OPEN,"1006",GREER,USA,MEDIUM
"10000445",TOMOKA WORK CAMP,3950 TIGER BAY RD,DAYTONA BEACH,FL,"32124","1098",STATE,OPEN,"292",VOLUSIA,USA,NOT AVAILABLE
"10002579",TAYCHEEDAH CORRECTIONAL INSTITUTION,751 COUNTY RD K,FOND DU LAC,WI,"54936","1947",STATE,OPEN,"928",FOND DU LAC,USA,MAXIMUM
"10003572",UNION CITY COMMUNITY CORRECTIONS CENTER,700 N STATE HWY 81,UNION CITY,OK,"73090","129",STATE,OPEN,"221",CANADIAN,USA,MINIMUM
"10003950",PANAMA CITY COMMUNITY RELEASE CENTER,3609 HIGHWAY 390,PANAMA CITY,FL,"32405","2795",STATE,OPEN,"67",BAY,USA,NOT AVAILABLE
"10004573",TAYLOR CORRECTIONAL INSTITUTION ANNEX,8501 HAMPTON SPRINGS ROAD,PERRY,FL,"32348","8747",STATE,OPEN,"895",TAYLOR,USA,CLOSE
"10003592",MACK ALFORD CORRECTIONAL CENTER,13001 NORTH HWY 69,ATOKA,OK,"74525","-999",STATE,OPEN,"777",ATOKA,USA,MEDIUM
"10001697",DODGE CORRECTIONAL INSTITUTION,1 W LINCOLN ST,WAUPUN,WI,"53963","-999",STATE,OPEN,"1629",DODGE,USA,MAXIMUM
"10003047",SCI WAYMART,11 FAIRVIEW DR,WAYMART,PA,"18472","-999",STATE,OPEN,"1554",WAYNE,USA,MAXIMUM
"10003591",HOWARD MCLEOD CORRECTIONAL CENTER,19603 E WHIPPOORWILL LN,ATOKA,OK,"74525","8415",STATE,OPEN,"657",ATOKA,USA,MINIMUM
"10002510",LONGVIEW WORK RELEASE,1821 1ST AVE,LONGVIEW,WA,"98632","-999",STATE,OPEN,"60",COWLITZ,USA,MINIMUM
"10006547",MARYLAND CORRECTIONAL TRAINING CENTER HED/EHU,18800 ROXBURY ROAD,HAGERSTOWN,MD,"21746","-999",STATE,OPEN,"387",WASHINGTON,USA,MINIMUM
"10000990",CHIPPEWA VALLEY CORRECTIONAL TREATMENT FACILITY,2909 E PARK AVE,CHIPPEWA FALLS,WI,"54729","-999",STATE,OPEN,"472",CHIPPEWA,USA,MINIMUM
"10006380",RIVERSIDE CCC,3001 BEAVER AVENUE,PITTSBURGH,PA,"15233","-999",STATE,OPEN,"0",ALLEGHENY,USA,MINIMUM
"10003156",HALE CREEK ASACTC,279 MALONEY RD,JOHNSTOWN,NY,"12095","3769",STATE,OPEN,"367",FULTON,USA,MEDIUM
"10003130",UPSTATE CORRECTIONAL FACILITY,309 BARE HILL RD,MALONE,NY,"12953","-999",STATE,OPEN,"1221",FRANKLIN,USA,MAXIMUM
"10001821",WILKINSON COUNTY CORRECTIONAL FACILITY,2999 US HWY 61 N,WOODVILLE,MS,"39669","-999",STATE,OPEN,"904",WILKINSON,USA,CLOSE
"10004447",FMC DEVENS CAMP,42 PATTON ROAD,DEVENS,MA,"1434","-999",FEDERAL,OPEN,"102",WORCESTER,USA,MINIMUM
"10002287",ATTICA CORRECTIONAL FACILITY,639 EXCHANGE ST,ATTICA,NY,"14011","149",STATE,OPEN,"2009",WYOMING,USA,MAXIMUM
"10003165",WENDE CORRECTIONAL FACILITY,3040 WENDE RD,ALDEN,NY,"14004","1187",STATE,OPEN,"872",ERIE,USA,MAXIMUM
"10003192",ELMIRA CORRECTIONAL FACILITY,1879 DAVIS ST,ELMIRA,NY,"14901","500",STATE,OPEN,"1800",CHEMUNG,USA,MAXIMUM
"10003193",SOUTHPORT CORRECTIONAL FACILITY,236 BOB MASIA DR,PINE CITY,NY,"14871","2000",STATE,OPEN,"486",CHEMUNG,USA,MAXIMUM
"10000393",COLUMBIA WORK CAMP,216 SE CORRECTIONS WAY,LAKE CITY,FL,"32025","2013",STATE,OPEN,"288",COLUMBIA,USA,MINIMUM
"10001507",BRONX COMMUNITY RE-ENTRY CENTER,2534 CRESTON AVE,BRONX,NY,"10468","-999",FEDERAL,OPEN,"-999",BRONX,USA,MINIMUM
"10003134",ADIRONDACK CORRECTIONAL FACILITY,196 RAY BROOK RD,RAY BROOK,NY,"12977","110",STATE,OPEN,"398",ESSEX,USA,MEDIUM
"10003136",MORIAH SHOCK INCARCERATION CORRECTIONAL FACILITY,75 BURHART LANE,MINEVILLE,NY,"12956","999",STATE,OPEN,"187",ESSEX,USA,MINIMUM
"10001061",PENDLETON CORRECTIONAL FACILITY,4490 W REFORMATORY RD,PENDLETON,IN,"46064","9001",STATE,OPEN,"1800",MADISON,USA,MAXIMUM
"10001873",OHIO COUNTY CORRECTIONAL CENTER,1501 EOFF ST,WHEELING,WV,"26003","-999",STATE,OPEN,"66",OHIO,USA,MINIMUM
"10000438",LOWELL ANNEX,11120 NW GAINESVILLE RD,OCALA,FL,"34482","1479",STATE,OPEN,"1262",MARION,USA,MAXIMUM
"10006374",HARRISBURG CCC,27 NORTH CAMERON STREET,HARRISBURG,PA,"17101","-999",STATE,OPEN,"0",DAUPHIN,USA,MINIMUM
"10001249",ROSWELL CORRECTIONAL CENTER,578 W CHICKASAW RD,HAGERMAN,NM,"88232","-999",STATE,OPEN,"339",CHAVES,USA,MINIMUM
"10000676",GREENE COUNTY WORK CAMP,UNITED STATES HIGHWAY 67 SOUTH,ROODHOUSE,IL,"62082","-999",STATE,OPEN,"125",GREENE,USA,MINIMUM
"10004446",FMC DEVENS,42 PATTON ROAD,DEVENS,MA,"1434","-999",FEDERAL,OPEN,"999",WORCESTER,USA,MAXIMUM
"10006307",CAI - OCEAN VIEW,551 SOUTH 35TH STREET,SAN DIEGO,CA,"92113","-999",MULTI,OPEN,"-999",SAN DIEGO,USA,MINIMUM
"10002098",MASSACHUSETTS TREATMENT CENTER,30 ADMINISTRATION RD,BRIDGEWATER,MA,"2324","-999",STATE,OPEN,"499",PLYMOUTH,USA,MEDIUM
"10003787","CENTRAL NM CORRECTIONAL FACILITY, LEVEL I UNIT",3201 HIGHWAY 314 SW,LOS LUNAS,NM,"87031","-999",STATE,OPEN,"350",VALENCIA,USA,MINIMUM
"10003769",SPRINGER CORRECTIONAL CENTER,201 ROAD HWY 468,SPRINGER,NM,"87747","-999",STATE,OPEN,"271",COLFAX,USA,MINIMUM
"10003795","SOUTHERN NM CORRECTIONAL FACILITY, LEVEL III UNIT",1983 JOE R SILVA BLVD,LAS CRUCES,NM,"88004","639",STATE,OPEN,"440",DONA ANA,USA,MAXIMUM
"10000751",MARCY CORRECTIONAL FACILITY,9000 OLD RIVER RD,MARCY,NY,"13403","5000",STATE,OPEN,"1148",ONEIDA,USA,MEDIUM
"10000759",LAKEVIEW SHOCK INCARCERATION CORRECTIONAL FACILITY,9300 LAKE AVE,BROCTON,NY,"14716","9798",STATE,OPEN,"660",CHAUTAUQUA,USA,MINIMUM
"10000378",JEFFERSON CORRECTIONAL INSTITUTION,1050 BIG JOE RD,MONTICELLO,FL,"32344","430",STATE,OPEN,"1091",JEFFERSON,USA,CLOSE
"10001404",MASAC AT PLYMOUTH,1 BUMP POND RD,PLYMOUTH,MA,"2360","-999",STATE,OPEN,"262",PLYMOUTH,USA,MINIMUM
"10001601",DEERFIELD WORK CENTER FOR WOMEN,15080 OLD BELFIELD RD,CAPRON,VA,"23829","-999",STATE,OPEN,"154",SOUTHAMPTON,USA,MINIMUM
"10003308",WISE CORRECTIONAL UNIT,3602 BEAR LANE,COEBURN,VA,"24230","1198",STATE,OPEN,"110",WISE,USA,MINIMUM
"10001960",CENTRAL NM CORRECTIONAL FACILITY / MAIN / LEVEL II UNIT,1525 MORRIS RD,LOS LUNAS,NM,"87031","-999",STATE,OPEN,"955",VALENCIA,USA,MAXIMUM
"10002225",ARROWHEAD CORRECTIONAL CENTER,E. US HIGHWAY 50 AND EVANS BLVD,CANON CITY,CO,"81212","-999",STATE,OPEN,"521",FREMONT,USA,MINIMUM
"10002629",CLARA WATERS COMMUNITY CORRECTIONS CENTER,9901 N I-35 SERVICE RD,OKLAHOMA CITY,OK,"73131","5228",STATE,OPEN,"297",OKLAHOMA,USA,MINIMUM
"10000983",SOUTHEASTERN CORRECTIONAL COMPLEX - LANCASTER,5900 BIS ROAD SW,LANCASTER,OH,"43130","-999",STATE,OPEN,"-999",FAIRFIELD,USA,MEDIUM
"10002689",TRENTON CORRECTIONAL INSTITUTION,84 GREENHOUSE RD,TRENTON,SC,"29847","-999",STATE,OPEN,"594",EDGEFIELD,USA,MEDIUM
"10001150",RIDGELAND CORRECTIONAL INSTITUTION,5 CORRECTIONAL RD,RIDGELAND,SC,"29936","-999",STATE,OPEN,"969",JASPER,USA,MEDIUM
"10000696",DIXON SPRINGS IMPACT INCARCERATION PROGRAM,6695 STATE ROUTE 146 EAST,VIENNA,IL,"62995","-999",STATE,OPEN,"33",JOHNSON,USA,MINIMUM
"10001722",ENID COMMUNITY CORRECTIONS CENTER,2020 E MAINE AVE,ENID,OK,"73701","6445",STATE,OPEN,"95",GARFIELD,USA,MINIMUM
"10001519",SOUTH WOODS STATE PRISON,215 S BURLINGTON RD,BRIDGETON,NJ,"8302","-999",STATE,OPEN,"3333",CUMBERLAND,USA,MEDIUM
"10003077",SCI PINE GROVE,189 FYOCK RD,INDIANA,PA,"15701","-999",STATE,OPEN,"1148",INDIANA,USA,MAXIMUM
"10001204",BIRMINGHAM COMMUNITY BASED FACILITY / COMMUNITY WORK CENTER,1216 25TH ST N,BIRMINGHAM,AL,"35234","3196",STATE,OPEN,"239",JEFFERSON,USA,MINIMUM
"10001042",HUTCHINSON C.F.-SOUTH UNIT,1100 EAST AVENUE G,HUTCHINSON,KS,"67504","-999",STATE,OPEN,"270",RENO,USA,MINIMUM
"10003082",SCI SMITHFIELD,1120 PIKE ST,HUNTINGDON,PA,"16652","-999",STATE,OPEN,"1346",HUNTINGDON,USA,CLOSE
"10001133",EVANS CORRECTIONAL INSTITUTION,610 HWY 9 W,BENNETTSVILLE,SC,"29512","-999",STATE,OPEN,"1313",MARLBORO,USA,MEDIUM
"10002688",WATEREE RIVER CORRECTIONAL INSTITUTION,HIGHWAY 261,REMBERT,SC,"29128","-999",STATE,OPEN,"812",SUMTER,USA,MEDIUM
"10001176",ST. ANTHONY WORK CAMP,125 N 8TH W,ST. ANTHONY,ID,"83445","-999",STATE,OPEN,"253",FREMONT,USA,MINIMUM
"10001716",HARDEMAN COUNTY CORRECTIONAL FACILITY,2520 UNION SPRINGS RD,WHITEVILLE,TN,"38075","-999",STATE,OPEN,"1981",HARDEMAN,USA,MEDIUM
"10001867",COUNCIL BLUFFS RESIDENTIAL CORRECTIONAL FACILITY,900 9TH AVENUE,COUNCIL BLUFFS,IA,"51501","-999",STATE,OPEN,"71",POTTAWATTAMIE,USA,NOT AVAILABLE
"10004580",FLORIDA STATE PRISON,7819 N.W. 228TH STREET,RAIFORD,FL,"32026","1000",STATE,OPEN,"1240",BRADFORD,USA,MAXIMUM
"10001875",HUTTONSVILLE CORRECTIONAL CENTER,"US HWY 250 S, P.O. BOX 1",HUTTONSVILLE,WV,"26273","-999",STATE,OPEN,"1131",RANDOLPH,USA,MAXIMUM
"10000157",LINDSEY STATE JAIL,1620 FM 3344,JACKSBORO,TX,"76458","-999",STATE,OPEN,"916",JACK,USA,CLOSE
"10000237",TORRES PRISON,125 PRIVATE RD 4303,HONDO,TX,"78861","-999",STATE,OPEN,"1360",MEDINA,USA,MEDIUM
"10000160",RUDD TRANSFER FACILITY,2004 LAMESA HWY,BROWNFIELD,TX,"79316","-999",STATE,OPEN,"136",TERRY,USA,MEDIUM
"10000211",WYNNE PRISON,810 FM 2821 W,HUNTSVILLE,TX,"77349","-999",STATE,OPEN,"2591",WALKER,USA,MAXIMUM
"10000180",WALLACE UNIT,1675 S FM 3525,COLORADO CITY,TX,"79512","-999",STATE,OPEN,"1121",MITCHELL,USA,MEDIUM
"10000195",WOODMAN STATE JAIL,1210 CORYELL CITY RD,GATESVILLE,TX,"76528","-999",STATE,OPEN,"6478",CORYELL,USA,MAXIMUM
"10000770",FCI FORT DIX,5756 HARTFORD & POINTVILE RD,FORT DIX,NJ,"8640","-999",FEDERAL,OPEN,"3114",BURLINGTON,USA,MINIMUM
"10000244",STRINGFELLOW PRISON,1200 FM 655,ROSHARON,TX,"77583","-999",STATE,OPEN,"1094",BRAZORIA,USA,MAXIMUM
"10003580",MABEL BASSETT CORRECTIONAL CENTER,29501 KICKAPOO RD,MCLOUD,OK,"74851","8339",STATE,OPEN,"1271",POTTAWATOMIE,USA,MAXIMUM
"10003585",JACKIE BRANNON CORRECTIONAL CENTER,900 N WEST ST,MCALESTER,OK,"74502","1999",STATE,OPEN,"720",PITTSBURG,USA,MINIMUM
"10003584",OKLAHOMA STATE PENITENTIARY,1301 N WEST ST,MCALESTER,OK,"74502","97",STATE,OPEN,"644",PITTSBURG,USA,MAXIMUM
"10003387",EASTERN OHIO CORRECTION CENTER - FEMALE CENTER,227 N MARKET ST,LISBON,OH,"44432","-999",STATE,OPEN,"33",COLUMBIANA,USA,MEDIUM
"10001603",GREENSVILLE WORK CENTER,901 CORRECTIONS WAY,JARRATT,VA,"23870","9614",STATE,OPEN,"210",GREENSVILLE,USA,MINIMUM
"10003263",HAYNESVILLE CORRECTIONAL UNIT #17,CAMP SEVENTEEN RD,HAYNESVILLE,VA,"22472","-999",STATE,OPEN,"111",RICHMOND,USA,MINIMUM
"10000924",INDIAN CREEK CORRECTIONAL CENTER,801 SANDERSON RD,CHESAPEAKE,VA,"23328","6481",STATE,OPEN,"1000",CHESAPEAKE,USA,MEDIUM
"10003125",RIVERVIEW CORRECTIONAL FACILITY,1110 TIBBITS DR,OGDENSBURG,NY,"13669","158",STATE,OPEN,"853",ST. LAWRENCE,USA,MEDIUM
"10001573",AUGUSTA CORRECTIONAL CENTER,1821 ESTALINE VALLEY RD,CRAIGSVILLE,VA,"24430","-999",STATE,OPEN,"1342",AUGUSTA,USA,CLOSE
"10001572",COFFEEWOOD CORRECTIONAL CENTER,12352 COFFEEWOOD DR,MITCHELLS,VA,"22729","-999",STATE,OPEN,"1007",CULPEPER,USA,MEDIUM
"10001579",DEEP MEADOW CORRECTIONAL CENTER,3500 WOODS WAY,STATE FARM,VA,"23160","-999",STATE,OPEN,"702",POWHATAN,USA,MEDIUM
"10003310",GREEN ROCK CORRECTIONAL CENTER,475 GREEN ROCK LANE,CHATHAM,VA,"24531","-999",STATE,OPEN,"1030",PITTSYLVANIA,USA,CLOSE
"10003329",USP LEE,LEE COUNTY INDUSTRIAL PARK & HICKORY FLATS RD,PENNINGTON GAP,VA,"24277","-999",FEDERAL,OPEN,"1316",LEE,USA,MAXIMUM
"10001238",HILAND MOUNTAIN CORRECTIONAL CENTER,9101 HESTERBERG RD,EAGLE RIVER,AK,"99577","-999",STATE,OPEN,"342",ANCHORAGE,USA,MEDIUM
"10006573",NEXUS TREATMENT CENTER,111 SKYLINE DRIVE,LEWISTOWN,MT,"59457","-999",STATE,OPEN,"82",FERGUS,USA,NOT AVAILABLE
"10003330",USP LEE CAMP,LEE COUNTY INDUSTRIAL PARK & HICKORY FLATS RD,PENNINGTON GAP,VA,"24277","-999",FEDERAL,OPEN,"76",LEE,USA,MINIMUM
"10003626",MONTANA WOMEN'S PRISON,701 S 27TH ST,BILLINGS,MT,"59101","-999",STATE,OPEN,"208",YELLOWSTONE,USA,MAXIMUM
"10006184",CONNECTIONS CORRECTIONS - BUTTE,111 WEST BROADWAY,BUTTE,MT,"59701","-999",STATE,OPEN,"52",SILVER BOW,USA,MINIMUM
"10000461",ORLANDO COMMUNITY RELEASE CENTER,7300 LAUREL HILL DRIVE,ORLANDO,FL,"32818","5278",STATE,OPEN,"82",ORANGE,USA,MINIMUM
"10001584",FCI PETERSBURG LOW,1100 RIVER RD,HOPEWELL,VA,"23860","-999",FEDERAL,OPEN,"892",PRINCE GEORGE,USA,MINIMUM
"10001593",SUSSEX I STATE PRISON,24414 MUSSELWHITE DR,WAVERLY,VA,"23891","1111",STATE,OPEN,"1131",SUSSEX,USA,MAXIMUM
"10001594",SUSSEX II STATE PRISON,24427 MUSSELWHITE DR,WAVERLY,VA,"23891","2222",STATE,OPEN,"1258",SUSSEX,USA,MAXIMUM
"10001591",WALLENS RIDGE STATE PRISON,272 DOGWOOD DR,BIG STONE GAP,VA,"24219","-999",STATE,OPEN,"1062",WISE,USA,MAXIMUM
"10001581",POWHATAN RECEPTION CENTER,3600 WOODS WAY,STATE FARM,VA,"23160","-999",STATE,OPEN,"326",POWHATAN,USA,MAXIMUM
"10006218",RIVER NORTH CORRECTIONAL CENTER,329 DELL BROOK LANE,INDEPENDENCE,VA,"24348","-999",STATE,OPEN,"897",GRAYSON,USA,MEDIUM
"10003289",RUSTBURG CORRECTIONAL UNIT #9,479 CAMP NINE RD,RUSTBURG,VA,"24588","-999",STATE,OPEN,"149",CAMPBELL,USA,MINIMUM
"10000925",ST. BRIDES CORRECTIONAL CENTER,701 SANDERSON RD,CHESAPEAKE,VA,"23328","6482",STATE,OPEN,"1174",CHESAPEAKE,USA,MEDIUM
"10003333",PATRICK HENRY CORRECTIONAL UNIT #28,18155 A L PHILPOTT HWY,RIDGEWAY,VA,"24148","-999",STATE,OPEN,"136",HENRY,USA,MINIMUM
"10003278",MEDICAL COLLEGE OF VIRGINIA SECURITY WARD,401 N 12TH ST,RICHMOND,VA,"23219","-999",STATE,OPEN,"15",RICHMOND (CITY),USA,NOT AVAILABLE
"10001589",NOTTOWAY CORRECTIONAL CENTER,2892 SCHUTT RD,BURKEVILLE,VA,"23922","-999",STATE,OPEN,"1432",NOTTOWAY,USA,MAXIMUM
"10005834",POCAHONTAS STATE CORRECTIONAL CENTER,317 OLD MOUNTAIN ROAD,POCAHONTAS,VA,"24635","518",STATE,OPEN,"1026",TAZEWELL,USA,MEDIUM
"10003170",WILLARD DRUG TREATMENT CAMPUS,7116 COUNTY ROUTE 132,WILLARD,NY,"14588","303",STATE,OPEN,"692",SENECA,USA,NOT AVAILABLE
"10001592",LUNENBURG CORRECTIONAL CENTER,690 FALLS RD,VICTORIA,VA,"23974","-999",STATE,OPEN,"975",LUNENBURG,USA,MEDIUM
"10001233",ANVIL MOUNTAIN CORRECTIONAL CENTER,1810 CENTER CREEK RD,NOME,AK,"99762","-999",STATE,OPEN,"113",NOME,USA,CLOSE
"10003320",MARION CORRECTIONAL TREATMENT CENTER,110 WRIGHT ST,MARION,VA,"24354","3145",STATE,OPEN,"264",SMYTH,USA,MAXIMUM
"10001392",NORTHEASTERN CORRECTIONAL INSTITUTION,1 BARRETTS MILL RD,WEST CONCORD,MA,"1742","-999",STATE,OPEN,"193",MIDDLESEX,USA,MINIMUM
"10004451",OLD COLONY CORRECTIONAL CENTER,1 ADMINISTRATION ROAD,BRIDGEWATER,MA,"2324","-999",STATE,OPEN,"702",PLYMOUTH,USA,MEDIUM
