facility_id,prison_name,state,ac_status,ac_status_details,address,building_completion_year,notes
10001028,Norton Correctional Facility,KS,Yes,Partial,"11130 Rd E4, Norton, KS 67654",1939,Central Unit opened in 1939 and East Unit in 1975
10001033,Topeka Correctional Facility,KS,Yes,Full,"815 SE Rice Road, Topeka, KS 66607",1974,Central Unit built in 1974 and I-J Compound built in 1993/unknown
10001050,Winfield Correctional Facility,KS,Yes,Partial,"1806 Pinecrest Circle, Winfield, KS 67156",1935,Central Unit built in 1935 and WWRF in 1952
10000122,Bell County Forestry Camp,KY,Yes,Full,"560 Correctional Drive Pineville, KY 40977",1962,
10003650,Blackburn Correctional Complex,KY,Yes,Full,"3111 Spurr Road Lexington, KY 40511",1972,
10000110,Eastern KY Correctional Complex,KY,Yes,Full,"200 Road to Justice West Liberty, KY 41472",1990,
10000117,Green River Correctional Complex,KY,Yes,Full,"1200 River Road P.O. Box 9300 Central City, KY 42330",1994,
10000106,KY Correctional Institution for Women,KY,Yes,Full,"3000 Ash Ave. Pewee Valley, Kentucky 40056",1938,
10000120,Kentucky State Penitentiary,KY,Yes,Full,"266 Water Street Eddyville, Kentucky 42038",1889,
10000103,Kentucky State Reformatory,KY,Yes,Full,"3001 W Hwy 146 LaGrange, Kentucky 40032",1939,
10000115,Lee Adjustment Center,KY,Yes,Full,"168 Lee Adjustment Center Drive Beattyville, KY 41311",,
10000107,Little Sandy Correctional Complex,KY,Yes,Full,"505 Prison Connector Sandy Hook, Kentucky 41171",2005,
10000101,Luther Luckett Correctional Complex,KY,Yes,Full,"1612 Dawkins Road P.O. ​Box 6 LaGrange, Kentucky 40031",1981,
10000116,Northpoint Training Center,KY,Yes,Full,"710 Walter Reed Rd. Danville, KY 40422",1983,
10000102,Roederer Correctional Complex,KY,Yes,Full,"P.O. Box 69 LaGrange, Kentucky 40031",1976,
10000112,Southeast State Correctional Complex,KY,Yes,Full,"327 Correctional Drive P.O. Box 1600 Wheelwright, KY 41669",2020,
10000121,Western Kentucky Corrections Complex,KY,Yes,Full,"374 New Bethel Church Road Fredonia, KY 42411",1977,
10000100,Bolduc Correctional Facility,ME,No,None,"516 Cushing Road Warren, Maine 04864",1966,Is not a climate-controlled environment– it does have operational windows
10001162,Downeast Correctional Facility,ME,No,None,"64 Base Road Machiasport, Maine 04655",2021,Is not climate controlled but there are operational windows in each living area
10001165,Maine Correctional Center,ME,Yes,Full,"17 Mallison Falls Rd, Windham, Maine 04062",2001,Has either a climate-controlled environment or operating windows
10001163,Maine State Prison,ME,Yes,Partial,"807 Cushing Road, Warren Maine 04864",2001,
10001938,Mountain View Correctional Facility,ME,Yes,Partial,"1182 Dover Rd, Charleston, Maine 04422",1960,"MV minimum does not have AC but does have operational windows in each room. Additions in 1982, 2001"
10001552,Baltimore City Correctional Center,MD,No,None,901 Greenmount Ave. Baltimore MD 21202,1984,Supports Services Building has AC
10002359,Central Maryland Correctional Facility,MD,No,None,7301 Buttercup Rd. Sykesville MD 21784,1963,Supports Services Building has AC
10006353,Dorsey Run Correctional Institution,MD,No,None,2020 Toulson Rd. Jessup MD 20794,2015,Supports Services Building has AC
10001570,Eastern Correctional Annex,MD,No,None,30430 Revells Neck Rd. Westover MD 21890,1993,Supports Services Building has AC
10001569,Eastern Correctional Institution,MD,No,None,30420 Revells Neck Rd. Westover MD 21890,1987,Supports Services Building has AC
10000919,Jessup Correctional Institution,MD,No,None,7805 House of Corrections Rd. Jessup MD 20794,1994,Supports Services Building has AC
10001559,Maryland Correctional Institution for Women,MD,No,None,7943 Brock Bridge Rd. Jessup MD 20794,1986,Supports Services Building has AC
10001548,Maryland Correctional Institution Hagerstown,MD,No,None,18601 Roxbury Rd. Hagerstown MD 21746,1940,Supports Services Building has AC
10001546,Maryland Correctional Training Center,MD,No,None,18800 Roxbury Rd. Hagerstown MD 21746,1966,Supports Services Building has AC
10001560,Mayland Correctional Institution Jessup,MD,No,None,7931 Brock Bridge Rd. Jessup MD 20794,1981,Supports Services Building has AC
10001543,North Branch Correctional Institution,MD,No,None,"14100 McMullen Hwy, Cumberland MD 21502",2003,Supports Services Building has AC
10002364,Patuxent Institution,MD,No,None,7555 Waterloo Rd. Jessup MD 20794,1954,Supports Services Building has AC
10001547,Roxbury Correctional Instituion,MD,No,None,18701 Roxbury Rd. Hagerstown MD 21746,1981,Supports Services Building has AC
10001542,Western Correctional Institution,MD,No,None,"13800 McMullen Hwy, Cumberland MD 21502",1995,Supports Services Building has AC
10001401,Lemuel Shattuck Hospital Correctional Unit,MA,Yes,Partial,"180 Morton St., Jamaica Plain, MA 02130",1987,Additional unit added in 1982 
10001404,MASAC at Plymouth,MA,No,None,"Myles Standish State Forest, 1 Bump Pond Rd., Plymouth, MA 02360",1952,Additional unit added in 1984
10002098,Massachusetts Treatment Center,MA,Yes,Partial,"30 Administration Rd., Bridgewater, MA 02324",1984,Additonal expansion added in 1996
10000281,MCI-Concord,MA,Yes,Partial,"965 Elm St., P.O. Box 9106, Concord, MA 01742",1878,"Additional unit in 1989, 1996, 2005"
10004444,MCI-Framingham,MA,Yes,Partial,"99 Loring Dr., P.O. Box 9007, Framingham, MA 01701",1877,Additional unit in 1965
10001393,MCI-Shirley,MA,Yes,Partial,"104 Harvard Road, Shirley, MA 01464",1908,"Additional unit in 1972, 1987, and merged with unit in 1990"
10004449,North Central Correctional Institution,MA,Yes,Partial,"500 Colony Rd., P.O. Box 466, Gardner, MA 01440",1902,Additional unit in 1998
10004451,Old Colony Correctional Center,MA,Yes,Partial,"1 Administration Rd., Bridgewater, MA 02324",1980,"Additional units in 1987, 1990"
10001396,Souza-Baranowski Correctional Center,MA,Yes,Full,"1671 Shirley Road, Lancaster, MA 01523",1998,
10001319,MCF-Moose Lake,MN,No,None,"1000 Lakeshore Dr, Moose Lake, MN 55767",1938,"Additional units in 1950, 1953"
10001322,MCF-Rush City,MN,Yes,Full,"7600 525th St, Rush City, MN 55069",1999,
10001325,MCF-Lino Lakes,MN,Yes,Partial,"7525 4th Ave, Lino Lakes, MN 55014",1963,"Additional units in 1992, 1996, 2004"
10001330,MCF-Stillwater,MN,Yes,Partial,"970 Pickett Ave N, Bayport, MN 55003",1910,"Additional units in 1927, 1940, 2008"
10001331,MCF-Oak Park Heights,MN,Yes,Full,"5329 N Osgood Ave, Oak Park Heights, MN 55082",1981,
10001333,MCF-Shakopee,MN,Yes,Full,"1010 6th Ave W, Shakopee, MN 55379",1986,Additional unit in 1994
"Houses 40 adult male prisoners in minimum-security, reentry housing. Red Wing is primarily a juvenile facility ",MCF-Red Wing,MN,Yes,Full,"1079 County 292 Blvd, Red Wing, MN 55066",1921,"Additional units in 1938, 1961, 1965, 1996"
10001318,MCF-Togo,MN,No,None,"62741 Co Rd 551, Cook, MN 55723",1958,Additional unit in 1966
10001324,MCF-St. Cloud,MN,Yes,Partial,"2305 Minnesota Blvd, St Cloud, MN 56304",1888,"Additional unit in 1896, 1905, 1915, 1920, 1926, 1938"
10006211,MCF-Willow River,MN,Yes,Full,"1000 Lakeshore Dr, Moose Lake, MN 55767",2007,
10000262,MCF-Faribault,MN,Yes,Partial,"1101 Linden Ln, Faribault, MN 55021",1913,"Additional units added in 1947, 1964, 1995, 2008, 2009"
10002987,Carlin Conservation Camp,NV,Yes,Full,"124 Suzie Creek Rd, Carlin, NV 89822",1988,
10003014,Casa Grande Transitional Housing ,NV,Yes,Full,"3955 W Russell Rd, Las Vegas, NV 89118",2005,
10003799,Ely State Prison ,NV,Yes,Full,"4569 N Styate Rt 490, Ely, NV 89301",1969,
10000261,Florence McClure Women’s Correctional Center ,NV,Yes,Full,"4370 Smiley Road, Las Vegas, NV 89115",2004,
10003004,High Desert State Prison ,NV,Yes,Full,"22010 Cold Creek Cold, Indian Springs, NV 89070",2000,
10003012,Jean Conservation Camp,NV,Yes,Full,"3 Prison Road, Jean, NV 89019",1988,
10002991,Lovelock Correctional Center ,NV,Yes,Full,"1200 Prison Road, Lovelock, NV 89419",1995,
10002996,Northern Nevada Correctional Center ,NV,Yes,Full,"1721 E Snyder, Carson City, NV 89701",1964,
10000260,Northern Nevada Transitional Housing ,NV,Yes,Full,"225 Sunshine Lane, Reno, NV 89502",2015,
10003002,Pioche Conservation Camp,NV,Yes,Full,"1 Hardtimes Road, Pioche, NV 89043",1980,
10003005,Southern Desert Correctional Center ,NV,Yes,Full,"20825 Cold Creek Road, Indian Spring, NV 89070",1978,
10002997,Stewart Conservation Camp,NV,Yes,Full,"1721 E Snyder, Carson City, NV 89701",1978,
10003006,Three Lakes Valley Conservation Camp,NV,Yes,Full,"20825 Cold Creek Road, Indian Spring, NV 89070",1982,
10002998,Tonopah Conservation Camp,NV,Yes,Full,"HC 76, Tonopah, NV 89049",1991,
10000258,Wells Conservation Camp,NV,Yes,Full,"HC 67-50, Wells, NV 89835",1985,
10004121,NH Correctional Facility for Women in Concord,NH,Yes,Full,"42 Perimeter Rd, Concord, NH 03301",2018,
10004118,NH State Prison for Men,NH,No,None,"281 N State St, Concord, NH 03301",1878,extensive renovations in the 1980s
10004116,Northern NH Correctional Facility,NH,No,None,"138 East Milan Rd. Berlin, NH 03570",2000,
10001786,Albemarle Correctional Institution,NC,Yes,Partial,"44150 Airport Road, New London, NC 28127",,
10001023,Alexander Correctional Institution,NC,Yes,Full,"633 Old Landfill Road, Taylorsville, NC 28681",,
10001790,Anson Correctional Institution,NC,Yes,Partial,"552 Prison Camp Road, Polkton, NC 28135",,
10006147,Avery-Mitchell Correctional Institution,NC,Yes,Partial,"600 Amity Park Road, Spruce Pine, NC 28777",,
10001759,Bertie Correctional Institution,NC,Yes,Full,"218 Cooper Hill Road, Windsor, NC 27983",2006,
10004170,Caldwell Correctional Center,NC,Yes,Partial,"480 Pleasant Hill Road, Lenoir, NC 28645",,
10004216,Carteret Correctional Center,NC,Yes,Partial,"1084 Orange Street, Newport, NC 28570",,
10001749,Caswell Correctional Center,NC,Yes,Partial,"444 County Home Road, Blanch, NC 27212",,
10002638,Catawba Correctional Center,NC,Yes,Partial,"1347 Prison Camp Road, Newton, NC 28658",,
10001766,Central Prison,NC,Yes,Full,"1300 Western Boulevard, Raleigh, NC 27606",,
10001798,Columbus Correctional Institution,NC,No,None,"1255 Prison Camp Road, Whiteville, NC 28472",,
10002640,Craggy Correctional Institution,NC,No,None,"22 Canoe Lane, Asheville, NC 28804",,
10001787,Craven Correctional Institution,NC,Yes,Partial,"600 Alligator Road, Vanceboro, NC 28586",1996,
10001750,Dan River Prison Work Farm,NC,Yes,Partial,"981 Murray Road, Blanch, NC 27212",1996,
10004177,Davidson Correctional Center,NC,Yes,Partial,"1400 Thomason Street, Lexington, NC 27292",,
10004194,Eastern Correctional Institution,NC,Yes,Full,"2821 N.C. Highway 903, Maury, NC 28554",1983,
10001769,Foothills Correctional Institution,NC,Yes,Full,"5150 Western Ave. Morganton, NC 28655",1994,
10004159,Forsyth Correctional Center,NC,Yes,Partial,"307 Craft Drive, Winston-Salem, NC 27105",,
10004157,Franklin Correctional Center,NC,Yes,Partial,"5918 NC Highway 39 South Bunn, NC 27508",,
10004210,Gaston Correctional Center,NC,Yes,Partial,"520 Justice Court Dallas, NC 28034",,
10001747,Granville Correctional Institution,NC,Yes,Full,"1001 Veazey Road, Butner, NC 27509",1997,
10001775,Greene Correctional Institution,NC,Yes,Partial,"2699 Hwy. 903, Maury, NC 28554",,
10001025,Harnett Correctional Institution,NC,Yes,Partial,"1210 E. McNeill Street, Lillington, NC 27546",,
10004193,Hyde Correctional Institution,NC,Yes,Full,"620 Prison Road, Fairfield, NC 27826",,
10004190,Johnston Correctional Institution,NC,No,None,"510 Turnage Road, Smithfield, NC 27577",,
10004197,Lincoln Correctional Center,NC,No,None,"464 Roper Drive, Lincolnton, NC 28092",,
10001027,Lumberton Correctional Institution,NC,Yes,Partial,"75 Legend Road, Lumberton, NC 28359",,
10001770,Marion Correctional Institution,NC,Yes,Full,"355 Old Glenwood Road, Marion, NC 28752",,
10001776,Maury Correctional Institution,NC,Yes,Full,"2568 Moore Rouse Road, Hookerton, NC 28538",,
10001754,Mountain View Correctional Institution,NC,Yes,Full,"545 Amity Park Road, Spruce Pine, NC 28777",1998,
10004173,NC Correctional Institution for Women,NC,Yes,Partial,"1034 Bragg Street, Raleigh, NC 27610",,
10001763,Nash Correctional Institution,NC,Yes,Full,"2869 US 64 Alt., Nashville NC 27856",,
10001782,Neuse Correctional Institution,NC,Yes,Full,"701 Stevens Mill Rd, Goldsboro, NC 27533",,
10001801,New Hanover Correctional Center,NC,Yes,Full,"330 Division Drive, Wilmington, NC 28401",,
10004165,Orange Correctional Center,NC,Yes,Partial,"2110 Clarence Walters Road, Hillsborough, NC 27278",,
10001788,Pamlico Correctional Institution,NC,Yes,Full,"601 North Third Street, Bayboro, NC 28515",,
10001752,Pasquotank Correctional Institution,NC,Yes,Full,"527 Commerce Drive, Elizabeth City, NC 27906",1996,
10004226,Pender Correctional Institution,NC,Yes,Partial,"906 Penderlea Highway, Burgaw, NC 28425",,
10004183,Piedmont Correctional Institution,NC,Yes,Partial,"1245 Camp Road, Salisbury, NC 28147",,
10001771,Randolph Correctional Center,NC,Yes,Partial,"2760 US 220 Business, Asheboro, NC 27203",,
10004219,Richmond Correctional Institution,NC,Yes,Partial,"1573 McDonald Church Road, Hoffman, NC 28347",,
10002633,Roanoke River Correctional Institution,NC,Yes,Partial,"2787 Caledonia Drive, Tillery, NC 27882",,
10001778,Rutherford Correctional Center,NC,Yes,Partial,"549 Ledbetter Road, Spindale, NC 28160",,
10004213,Sampson Correctional Institution,NC,Yes,Partial,"700 Northwest Blvd, US 421 North, Clinton, NC 28328",,
10001777,Sanford Correctional Center,NC,Yes,Full,"417 Advancement Center Rd. Sanford, NC 27330",,
10001793,Scotland Correctional Institution,NC,Yes,Full,"22385 McGirts Bridge Road, Laurinburg, NC 28353",2003,
10001784,Southern Correctional Institution,NC,Yes,Full,"272 Glen Road, Troy, NC 27371",1983,
10001799,Tabor Correctional Institution,NC,Yes,Full,"4600 Swamp Fox Highway, West Tabor City, NC 28463",,
10001021,Tyrrell Prison Work Farm,NC,No,None,"Snell Road, Columbia, NC 27925",,
10004146,Warren Correctional Institution,NC,Yes,Partial,"379 Collins Road, Manson, NC 27553",1997,
10006217,Western Correctional Center for Women,NC,Yes,Full,"55 Lake Eden Road, Black Mountain, NC 28711",2008,
10004153,Wilkes Correctional Center,NC,Yes,Partial,"404 Statesville Road, North Wilkesboro, NC 28659",,
10004174,Wake Correctional Center,NC,Yes,Full,"1000 Rock Quarry Road, Raleigh, NC 27610",,
10003601,North Dakota State Penitentiary,ND,Yes,Full,"3100 Railroad Ave. Bismarck, ND 58506",1960,"West cell house opened in 1960. Prison is comprised of buildings from 1956, 1982, 1987, 1981, 1990, 2012"
10003603,James River Correctional Center,ND,Yes,Full,"2521 Circle Drive Jamestown, ND 58401",1936,"ET Housing built in 1936. Prisons is comprised of buildings from 1925, 1938, 1966, 1987, 2000, 2005"
10003602,Missouri River Correctional Center,ND,Yes,Full,"1800 48th Ave S.W. Bismarck, ND 58506",1991,"Dorm building built in 1991. Prison is comprised of buildings from 1940, 1942, 1982, 1975, 1984, 1998, 1991, 2015"
New facility - established in 2021,Heart River Correctional Center,ND,Yes,Full,"701 16th Ave SW Mandan, ND 58554",1961,"Is designed to hold minimum security women, but also the locatin of the Youth Correctional Center"
10001298,Coffee Creek Correctional Facility,OR,Yes,Full,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",2001,
10002958,Columbia River Correctional Institution,OR,Yes,Full,"9111 NE Sun​derland Avenue, Portland, Oregon 97211",1990,
10000257,Deer Ridge Correctional Institution,OR,Yes,Partial,"3920 East Ashwood Road, Madras, Oregon 97741",2007,"Partial AC. Most buildings and housing units have AC, not all."
10001294,Eastern Oregon Correctional Institution,OR,Yes,Full,"2500 Westgate, Pendleton, Oregon 97801",1912,"Until its conversion to a prison, EOCI had been a state mental hospital, with most of the buildings originally constructed in 1912-13."
10001302,Oregon State Correctional Institution,OR,Yes,Full,"3405 Deer Park Drive SE, Salem, Oregon 97310",1959,
10002968,Oregon State Penitentiary,OR,Yes,Full,"2605 State Street, Salem, OR 97310",1929,The exact building completion is hard to track down. I put the completion date as the oldest date in which a dormitory/dorm was completed
10006639,Oregon State Penitentiary Minimum,OR,Yes,Partial,"2605 State Street, Salem, OR 97310",1965,"The Main Facility AIC has AC, but not the Dormitory AIC."
10001306,Powder River Correctional Facility,OR,Yes,Partial,"3600 13th Street, Baker City, Oregon 97814",1990,"Partial AC, but there is AC in the AIC housing"
10002971,Santiam Correctional Institution,OR,Yes,Full,"4005 Aumsville Hwy SE, Salem, OR 97317",1945,
10002957,South Fork Forest Camp,OR,Yes,Full,"48300 Wilson River Hwy, Tillamook, OR 97141",1988,
10001310,Snake River Correctional Institution,OR,Yes,Full,"777 Stanton Blvd., Ontario, Oregon 97914",1992,
10001295,Two Rivers Correctional Institution,OR,Yes,Full,"82911 Beach Access Road, Umatilla, OR 97882",1999,
10006966,Warner Creek Correctional Facility,OR,Yes,Full,"20654 Rabbit Hill Road, Lakeview, OR 97630",2005,
10000709,Albion,PA,Yes,Full,"10745 Route 18 Albion, Pa. 16475",1993,
10006363,Benner,PA,Yes,Full,"301 Institution Dr Bellefonte, PA 16823",2011,
10003048,Cambridge Springs,PA,Yes,Full,"451 Fullerton Ave Cambridge Springs, PA 16403",1925,
10000733,Camp Hill,PA,Yes,Full,"2500 Lisburn Rd Camp Hill, PA 17001",1940,
10003117,Chester,PA,Yes,Full,"500 E 4th St Chester, PA 19013",1992,
10003064,Coal Township,PA,Yes,Full,"10 Kelley Dr Coal Township, PA 17866",1993,
10000718,Dallas,PA,Yes,Full,"1000 Follies Rd Dallas, PA 18612",1959,
10003109,Fayette,PA,Yes,Full,"50 Overlook Dr LaBelle, PA 15450",2003,
10003052,Forest,PA,Yes,Full,"286 Woodland Dr Marienville, PA 16239",2003,
10003074,Frackville,PA,Yes,Full,"1111 Altamont Blvd Frackville, PA 17931",1987,
10003121,Greene,PA,Yes,Full,"169 Progress Dr Waynesburg, PA 15370",1993,
10000721,Houtzdale,PA,Yes,Full,"209 Institution Dr Houtzdale, PA 16654",1995,
10000728,Huntingdon,PA,Yes,Full,"1100 Pike St Huntingdon, PA 16654",1889,
10003107,Laurel Highlands,PA,Yes,Full,"5706 Glades Pike Somerset, PA 15501",1949,
10003073,Mahanoy,PA,Yes,Full,"301 Morea Rd Frackville, PA 17932",1993,
10003056,Mercer,PA,Yes,Full,"801 Butler Pike Mercer, PA 16137",1978,
10003054,Muncy,PA,Yes,Full,"6454 Route 405 
Muncy, PA 17756",1907,
New facility - opened in 2018,Phoenix,PA,Yes,Full,"1200 Mokychic Dr Collegeville, PA 19426",2018,
10003077,Pine Grove,PA,Yes,Full,"189 Fyock Rd Indiana, PA 15701",1999,
10001489,Quehanna Boot Camp,PA,No,Full,"4395 Quehanna Hwy Karthaus, PA 16845",1957,
10003062,Rockview,PA,Yes,Full,"1 Rockview Pl Bellefonte, PA 16823",1915,
10003082,Smithfield,PA,Yes,Full,"1120 Pike St Huntingdon, PA 16652",1988,
10000737,Somerset,PA,Yes,Full,"1590 Walters Mill Rd Somerset, PA 15510",1993,
10003047,Waymart,PA,Yes,Full,"11 Farview Dr Waymart, PA 18472",1910,
10001123,South Dakota State Penitentiary,SD,Yes,Full,"1600 North Drive PO Box 5911 Sioux Falls, SD 5711",1881,Facility was fitted for a cooling system in 2021.
10001121,Jameson Annex,SD,Yes,Full,"1600 North Drive PO Box 5911 Sioux Falls, SD 5711",1993,Facility was built with AC.
10001128,Mike Durfee State Prison,SD,Yes,Partial,"1412 North Wood Street, Springfield, SD 57062",,"This prison is on the grounds of the former University of South Dakota-Springfield and utilizes several of the schools residence halls for housing offenders. Those buildings were not built with air conditioning. However, some rooms in those buildings are equipped with window air conditioning units due to the medical needs of the offenders housed there. There is currently a feasibility study underway to determine if those buildings can be fitted for a cooling system. A barracks unit was constructed in 2005. That unit was fitted for a cooling system in 2022. "
10001125,Yankton Minimum Center,SD,Yes,Full,"178 Mickelson Drive Yankton, SD 57078",1938,Building that houses offenders is located on the grounds of the state Human Services Center. The building has AC/cooling system.
10001118,Rapid City Minimum Center,SD,Yes,Full,"2725 Creek Drive Rapid City, SD 57703",2012,Facility was built with AC.
10002657,South Dakota Women's Prison,SD,Yes,Full ,"3200 East Highway 34 c/o 500 E. Capitol Ave. Pierre, SD 57501",1997,Facility was built with AC.
10002716,Allred,TX,Yes,Partial,"2101 FM 369 North Iowa Park, TX 76367",1995,
10001978,Beto,TX,Yes,Partial,"1391 FM 3328, Tennessee Colony, TX 75880",1980,
10000190,Boyd,TX,Yes,Partial,"200 Spur 113, Teague, TX 75860-2007",1992,
10000247,Briscoe,TX,Yes,Partial,"1459 West Highway 85, Dilley, TX 78017",1992,
