,system:index,DateTime,FACILITYID,Hour,NAME,Year,pressure,specific_humidity,temperature,max_heat_index,relative_humidity,heat_index_risk_level,Date,avg_heat_index
13908,A19900829_2100_0000000000000000045d,8/29/1990 21:00,10000190,21,BOYD CORRECTIONAL UNIT,1990,99532.24,0.0137921,39.67003906,108.042577,29.40249687,Danger,8/29/1990,99.59297409260869
3800,A19900625_2100_00000000000000000294,6/25/1990 21:00,10000191,21,FCI LA TUNA,1990,87057.53,0.0047637,40.87,99.61137103,8.525350352,Extreme Caution,6/25/1990,88.59252874543478
3776,A19900625_2100_00000000000000000179,6/25/1990 21:00,10000192,21,CI REEVES COUNTY I & II,1990,91858.81,0.0054425,44.31,105.5431876,8.564035232,Danger,6/25/1990,95.2460190673913
3777,A19900625_2100_000000000000000003b7,6/25/1990 21:00,10000193,21,CI REEVES COUNTY III,1990,91858.81,0.0054425,44.31,105.5431876,8.564035232,Danger,6/25/1990,95.2460190673913
3401,A19900622_2100_000000000000000005df,6/22/1990 21:00,10000194,21,MOUNTAIN VIEW PRISON,1990,98091.06,0.0131635,39.28,105.9542862,28.28587849,Danger,6/22/1990,98.21253242586955
3429,A19900622_2100_0000000000000000014f,6/22/1990 21:00,10000195,21,WOODMAN STATE JAIL,1990,98091.06,0.0131635,39.28,105.9542862,28.28587849,Danger,6/22/1990,98.21253242586955
3379,A19900622_2100_00000000000000000486,6/22/1990 21:00,10000196,21,HUGHES PRISON,1990,98091.06,0.0131635,39.28,105.9542862,28.28587849,Danger,6/22/1990,98.21253242586955
14102,A19900830_2100_0000000000000000046c,8/30/1990 21:00,10000197,21,DIBOLL CORRECTIONAL CENTER,1990,100468.05,0.0160001,38.14003906,108.4631468,37.18259506,Danger,8/30/1990,99.48305971173913
14103,A19900830_2100_0000000000000000046e,8/30/1990 21:00,10000198,21,DUNCAN GERIATRIC FACILITY,1990,100468.05,0.0160001,38.14003906,108.4631468,37.18259506,Danger,8/30/1990,99.48305971173913
3711,A19900624_2100_000000000000000005ea,6/24/1990 21:00,10000199,21,SAN SABA TRANSFER FACILITY,1990,96546.49,0.0096639,41.4,105.5139941,18.41593635,Danger,6/24/1990,96.08602610141304
3811,A19900625_2100_00000000000000000475,6/25/1990 21:00,10000200,21,FORT STOCKTON TRANSFER FACILITY,1990,91288.57,0.0061777,42.1,102.7576965,10.82331506,Extreme Caution,6/25/1990,92.78091955108695
3847,A19900625_2100_00000000000000000493,6/25/1990 21:00,10000203,21,LYNAUGH PRISON,1990,90201.21,0.0058273,41.51,101.4615417,10.41634411,Extreme Caution,6/25/1990,91.32422500989131
14130,A19900830_2100_0000000000000000047a,8/30/1990 21:00,10000204,21,GOODMAN TRANSFER FACILITY,1990,100171.73,0.0176589,35.72003906,105.7594894,46.50880501,Danger,8/30/1990,97.27758219358697
14168,A19900830_2100_00000000000000000010,8/30/1990 21:00,10000205,21,POLUNSKY PRISON,1990,100713.81,0.0161313,37.48003906,107.255371,38.93777735,Danger,8/30/1990,99.65666603206522
14119,A19900830_2100_00000000000000000473,8/30/1990 21:00,10000206,21,FERGUSON PRISON,1990,100477.65,0.0148337,38.90003906,108.216927,33.18511257,Danger,8/30/1990,100.35923376413044
14153,A19900830_2100_00000000000000000490,8/30/1990 21:00,10000208,21,LEWIS PRISON,1990,100123.73,0.0169533,36.45003906,106.1605613,42.94883918,Danger,8/30/1990,97.71646140673914
14139,A19900830_2100_00000000000000000484,8/30/1990 21:00,10000209,21,HOLLIDAY TRANSFER FACILITY,1990,99867.73,0.0148577,38.08003906,106.265049,34.53199265,Danger,8/30/1990,98.81762053076086
14141,A19900830_2100_00000000000000000487,8/30/1990 21:00,10000210,21,HUNTSVILLE PRISON,1990,99867.73,0.0148577,38.08003906,106.265049,34.53199265,Danger,8/30/1990,98.81762053076086
14194,A19900830_2100_00000000000000000154,8/30/1990 21:00,10000211,21,WYNNE PRISON,1990,99867.73,0.0148577,38.08003906,106.265049,34.53199265,Danger,8/30/1990,98.81762053076086
14106,A19900830_2100_00000000000000000471,8/30/1990 21:00,10000212,21,ELLIS PRISON,1990,100511.57,0.0151049,38.77003906,108.3824634,34.01782029,Danger,8/30/1990,100.19248661782609
14131,A19900830_2100_0000000000000000047b,8/30/1990 21:00,10000213,21,GOREE PRISON AND TRUSTY CAMP,1990,99867.73,0.0148577,38.08003906,106.265049,34.53199265,Danger,8/30/1990,98.81762053076086
14107,A19900830_2100_00000000000000000472,8/30/1990 21:00,10000215,21,ESTELLE PRISON,1990,100511.57,0.0151049,38.77003906,108.3824634,34.01782029,Danger,8/30/1990,100.19248661782609
3372,A19900622_2100_0000000000000000047e,6/22/1990 21:00,10000216,21,HAMILTON PRISON (PRE-RELEASE FACILITY),1990,100052.02,0.0131847,40.05,108.0524367,27.72800092,Danger,6/22/1990,101.0452252352174
3573,A19900623_2100_00000000000000000104,6/23/1990 21:00,10000219,21,T DON HUTTO RESIDENTIAL CENTER,1990,99110.29,0.0128977,40.48,108.357494,26.27853231,Danger,6/23/1990,99.74124786163044
12436,A19900819_2100_000000000000000004fd,8/19/1990 21:00,10000220,21,LUTHER PRISON AND TRUSTY CAMP,1990,100614.34,0.0150187,38.13003906,106.8247613,35.05781209,Danger,8/19/1990,100.5083755525
14151,A19900830_2100_00000000000000000481,8/30/1990 21:00,10000224,21,L.V. HIGHTOWER UNIT,1990,100954.45,0.0162733,36.32003906,104.9321344,41.93694998,Danger,8/30/1990,98.8024353902174
14096,A19900830_2100_000000000000000004ff,8/30/1990 21:00,10000225,21,CLEVELAND CORRECTIONAL CENTER,1990,100693.97,0.0162385,36.74003906,105.7501686,40.79304845,Danger,8/30/1990,99.06476079347826
3507,A19900623_2100_000000000000000002fc,6/23/1990 21:00,10000226,21,FCI BASTROP,1990,99578.13,0.0128717,40.87,109.2500688,25.80982108,Danger,6/23/1990,100.33844168152174
3542,A19900623_2100_0000000000000000048e,6/23/1990 21:00,10000228,21,KYLE CORRECTIONAL CENTER,1990,99011.73,0.0125217,40.91,108.6998188,24.93421399,Danger,6/23/1990,98.99941863532608
14181,A19900830_2100_000000000000000005f1,8/30/1990 21:00,10000229,21,STILES UNIT,1990,101262.29,0.0170809,35.54003906,104.662473,45.99632433,Danger,8/30/1990,98.05224974282609
270,A19900602_2100_00000000000000000489,6/2/1990 21:00,10000234,21,JESTER III UNIT / TRUSTY CAMP,1990,101240.23,0.0196404,34.2,106.3621607,56.59519451,Danger,6/2/1990,99.75080405163044
294,A19900602_2100_00000000000000000152,6/2/1990 21:00,10000237,21,TORRES PRISON,1990,98133.03,0.0121412,40.41,106.9354055,24.63184813,Danger,6/2/1990,98.07984178586956
284,A19900602_2100_000000000000000005e3,6/2/1990 21:00,10000238,21,NEY STATE JAIL,1990,98133.03,0.0121412,40.41,106.9354055,24.63184813,Danger,6/2/1990,98.07984178586956
12325,A19900819_1800_00000000000000000602,8/19/1990 18:00,10000241,18,C T TERRELL PRISON,1990,101572.73,0.0178681,35.21,105.4408866,49.05556836,Danger,8/19/1990,98.95091792836956
12335,A19900819_1800_000000000000000005e7,8/19/1990 18:00,10000242,18,RAMSEY PRISON,1990,101572.73,0.0178681,35.21,105.4408866,49.05556836,Danger,8/19/1990,98.95091792836956
14237,A19900831_2100_00000000000000000464,8/31/1990 21:00,10000243,21,CLEMENS PRISON,1990,101159.02,0.0198966,31.86003906,101.1129035,65.29819107,Extreme Caution,8/31/1990,94.87723246445653
12339,A19900819_1800_00000000000000000151,8/19/1990 18:00,10000244,18,STRINGFELLOW PRISON,1990,101572.73,0.0178681,35.21,105.4408866,49.05556836,Danger,8/19/1990,98.95091792836956
14321,A19900831_2100_000000000000000005ec,8/31/1990 21:00,10000245,21,SCOTT PRISON,1990,101123.82,0.0189854,33.14003906,102.5327261,58.07762585,Extreme Caution,8/31/1990,96.21574891152174
239,A19900602_2100_0000000000000000046b,6/2/1990 21:00,10000246,21,DARRINGTON UNIT,1990,101295.91,0.0199944,33.72,105.9363222,59.1606645,Danger,6/2/1990,99.55873220402172
232,A19900602_2100_00000000000000000461,6/2/1990 21:00,10000247,21,BRISCOE PRISON,1990,99205.03,0.0128808,41.21,109.9159617,25.27050795,Danger,6/2/1990,100.32021463271738
279,A19900602_2100_00000000000000000495,6/2/1990 21:00,10000248,21,MCCONNELL PRISON,1990,100653.35,0.016442,39.16,111.6432865,36.18918487,Danger,6/2/1990,100.35668539304348
230,A19900602_1800_00000000000000000108,6/2/1990 18:00,10000252,18,WILLACY COUNTY STATE JAIL,1990,101149.64,0.0172259,38.25,111.1452118,39.94094374,Danger,6/2/1990,100.64437872500001
13895,A19900829_1800_00000000000000000440,8/29/1990 18:00,10001014,18,TURNEY CENTER INDUSTRIAL COMPLEX,1990,99156.68,0.0177839,35.32,104.7267049,47.38390663,Danger,8/29/1990,90.80378004695653
13896,A19900829_1800_0000000000000000045a,8/29/1990 18:00,10001015,18,TURNEY CENTER INDUSTRIAL COMPLEX - ANNEX,1990,99047.24,0.0175635,35.24,104.1223068,46.9780753,Danger,8/29/1990,90.98257449293477
3402,A19900622_2100_000000000000000005e1,6/22/1990 21:00,10001274,21,MURRAY PRISON,1990,98091.06,0.0131635,39.28,105.9542862,28.28587849,Danger,6/22/1990,98.21253242586955
3332,A19900622_2100_000000000000000005e0,6/22/1990 21:00,10001275,21,CRAIN UNIT,1990,98091.06,0.0131635,39.28,105.9542862,28.28587849,Danger,6/22/1990,98.21253242586955
3362,A19900622_2100_0000000000000000017d,6/22/1990 21:00,10001279,21,FPC BRYAN,1990,100041.78,0.0133023,39.8,107.6853152,28.34068749,Danger,6/22/1990,100.74184524543479
14188,A19900830_2100_00000000000000000315,8/30/1990 21:00,10001283,21,USP BEAUMONT CAMP,1990,101262.29,0.0170809,35.54003906,104.662473,45.99632433,Danger,8/30/1990,98.05224974282609
6113,A19900710_1800_0000000000000000043d,7/10/1990 18:00,10001703,18,NORTHEAST CORRECTIONAL COMPLEX - ANNEX,1990,90684.21,0.0169926,26.66,82.69636375,68.00275727,Caution,7/10/1990,73.48962966021739
12340,A19900819_1800_0000000000000000043f,8/19/1990 18:00,10001705,18,TENNESSEE PRISON FOR WOMEN,1990,99922.81,0.0177713,34.64,103.4002954,49.55021972,Danger,8/19/1990,91.19690835130434
13887,A19900829_1800_000000000000000003b8,8/29/1990 18:00,10001708,18,LOIS M DEBERRY SPECIAL NEEDS FACILITY,1990,99351.88,0.0182875,34.23,103.1815499,51.80127977,Danger,8/29/1990,91.00462240347827
13891,A19900829_1800_0000000000000000043e,8/29/1990 18:00,10001709,18,RIVERBEND MAXIMUM SECURITY INSTITUTION,1990,99351.88,0.0182875,34.23,103.1815499,51.80127977,Danger,8/29/1990,91.00462240347827
2672,A19900618_1800_0000000000000000044b,6/18/1990 18:00,10001711,18,WEST TENNESSEE STATE PENITENTIARY,1990,100548.77,0.0195764,34.67,107.0753082,54.58813136,Danger,6/18/1990,94.361968855
13884,A19900829_1800_00000000000000000130,8/29/1990 18:00,10001713,18,BLEDSOE COUNTY CORRECTIONAL COMPLEX,1990,95352.52,0.0170751,31.68,94.40694378,53.73986211,Extreme Caution,8/29/1990,83.21873729880436
13968,A19900829_2100_0000000000000000013e,8/29/1990 21:00,10001716,21,HARDEMAN COUNTY CORRECTIONAL FACILITY,1990,99397.2,0.0119501,39.68003906,105.352557,25.54590725,Danger,8/29/1990,92.8715441476087
14034,A19900829_2100_00000000000000000457,8/29/1990 21:00,10001717,21,WHITEVILLE CORRECTIONAL FACILITY,1990,99397.2,0.0119501,39.68003906,105.352557,25.54590725,Danger,8/29/1990,92.8715441476087
4863,A19900702_1800_000000000000000003eb,7/2/1990 18:00,10001718,18,FCI MEMPHIS,1990,100072.04,0.0197965,34.52,106.9586972,55.36979554,Danger,7/2/1990,94.51579016891304
4866,A19900702_1800_00000000000000000441,7/2/1990 18:00,10001720,18,MARK H LUTTRELL TRANSITION CENTER,1990,100072.04,0.0197965,34.52,106.9586972,55.36979554,Danger,7/2/1990,94.51579016891304
3590,A19900624_2100_0000000000000000048d,6/24/1990 21:00,10001966,21,BATEN ISF,1990,90119.61,0.0082775,40.54,101.8108448,15.46650589,Extreme Caution,6/24/1990,91.12359700184783
3696,A19900624_2100_000000000000000005e2,6/24/1990 21:00,10001967,21,NEAL PRISON,1990,88919.61,0.0051515,41.81,101.3743128,8.950264123,Extreme Caution,6/24/1990,90.62096363521738
3937,A19900626_2100_0000000000000000045e,6/26/1990 21:00,10001969,21,BRIDGEPORT CORRECTIONAL CENTER,1990,98262.52,0.0168513,37.30003906,107.3541192,40.00464017,Danger,6/26/1990,97.70757925880434
3977,A19900626_2100_00000000000000000528,6/26/1990 21:00,10001972,21,FMC CARSWELL CAMP,1990,98983.8,0.0163221,37.64003906,107.4448775,38.36765233,Danger,6/26/1990,98.69790039391305
3799,A19900625_2100_00000000000000000296,6/25/1990 21:00,10001974,21,FCI BIG SPRING CAMP,1990,92512.25,0.0079729,41.51,103.4776036,14.53664398,Danger,6/25/1990,93.19498541010869
3798,A19900625_2100_00000000000000000298,6/25/1990 21:00,10001975,21,FCI BIG SPRING,1990,92512.25,0.0079729,41.51,103.4776036,14.53664398,Danger,6/25/1990,93.19498541010869
14084,A19900830_2100_000000000000000004f6,8/30/1990 21:00,10001977,21,BRADSHAW STATE JAIL,1990,99598.93,0.0155193,37.43003906,105.8048808,37.20381281,Danger,8/30/1990,97.6434930673913
13906,A19900829_2100_0000000000000000045c,8/29/1990 21:00,10001978,21,BETO PRISON,1990,100025.04,0.0147969,38.89003906,108.0205539,32.97448148,Danger,8/29/1990,99.65341044880435
3603,A19900624_2100_000000000000000001e8,6/24/1990 21:00,10001981,21,CI EDEN,1990,94206.01,0.0083395,40.75,102.6044892,16.10531373,Extreme Caution,6/24/1990,93.01319814260869
14086,A19900830_2100_00000000000000000463,8/30/1990 21:00,10001984,21,BYRD DIAGNOSTIC INTAKE FACILITY,1990,99867.73,0.0148577,38.08003906,106.265049,34.53199265,Danger,8/30/1990,98.81762053076086
14111,A19900830_2100_0000000000000000031a,8/30/1990 21:00,10001989,21,FCI BEAUMONT MEDIUM,1990,101262.29,0.0170809,35.54003906,104.662473,45.99632433,Danger,8/30/1990,98.05224974282609
14187,A19900830_2100_0000000000000000051f,8/30/1990 21:00,10001990,21,USP BEAUMONT,1990,101262.29,0.0170809,35.54003906,104.662473,45.99632433,Danger,8/30/1990,98.05224974282609
3738,A19900624_2100_00000000000000000062,6/24/1990 21:00,10002713,21,WHEELER STATE JAIL,1990,89628.09,0.0055559,42.82,103.2759249,9.216720338,Danger,6/24/1990,91.14731334554347
3646,A19900624_2100_00000000000000000474,6/24/1990 21:00,10002714,21,FORMBY STATE JAIL,1990,89628.09,0.0055559,42.82,103.2759249,9.216720338,Danger,6/24/1990,91.14731334554347
3930,A19900626_2100_0000000000000000045b,6/26/1990 21:00,10002716,21,ALLRED PRISON,1990,97686.52,0.0138261,39.94003906,108.2776472,28.51075202,Danger,6/26/1990,98.10577712423913
14231,A19900831_2100_000000000000000005de,8/31/1990 21:00,10002725,21,CHOICE MOORE TRANSFER FACILITY,1990,99037.42,0.0115714,41.18003906,107.903671,22.77454327,Danger,8/31/1990,97.30397728586956
14240,A19900831_2100_00000000000000000466,8/31/1990 21:00,10002726,21,COLE STATE JAIL,1990,99037.42,0.0115714,41.18003906,107.903671,22.77454327,Danger,8/31/1990,97.30397728586956
3692,A19900624_2100_000000000000000005dd,6/24/1990 21:00,10002729,21,MONTFORD UNIT - PSYCHIATRIC FACILITY,1990,90182.33,0.0061519,42.81,103.8089728,10.25820568,Danger,6/24/1990,91.69041345369564
2793,A19900618_2100_000000000000000005f3,6/18/1990 21:00,10002731,21,TELFORD PRISON,1990,100356.93,0.0211327,34.37,109.4490523,59.57466791,Danger,6/18/1990,97.74472619695652
13977,A19900829_2100_00000000000000000488,8/29/1990 21:00,10002755,21,HUTCHINS STATE JAIL,1990,99545.68,0.0123433,40.75003906,108.1997675,24.93377438,Danger,8/29/1990,99.59488959728262
3717,A19900624_2100_000000000000000005ef,6/24/1990 21:00,10002758,21,SMITH PRISON,1990,91077.69,0.0069219,41.8,102.8947677,12.26866399,Extreme Caution,6/24/1990,91.92550264695652
4033,A19900626_2100_0000000000000000051e,6/26/1990 21:00,10002759,21,SAYLE SAFPF,1990,96768.76,0.0124129,40.00003906,106.2000315,25.3651072,Danger,6/26/1990,96.77898015847825
14104,A19900830_2100_0000000000000000046f,8/30/1990 21:00,10002784,21,EAST TEXAS TREATMENT FACILITY,1990,99598.93,0.0155193,37.43003906,105.8048808,37.20381281,Danger,8/30/1990,97.6434930673913
14138,A19900830_2100_00000000000000000483,8/30/1990 21:00,10002791,21,HODGE UNIT,1990,99426.77,0.0146221,38.33003906,106.343035,33.39912702,Danger,8/30/1990,97.7404701173913
14178,A19900830_2100_000000000000000005ee,8/30/1990 21:00,10002792,21,SKYVIEW PSYCHIATRIC FACILITY,1990,99426.77,0.0146221,38.33003906,106.343035,33.39912702,Danger,8/30/1990,97.7404701173913
3660,A19900624_2100_0000000000000000047f,6/24/1990 21:00,10002799,21,HAVINS PRE-RELEASE FACILITY,1990,96276.41,0.0099799,40.95,104.9794233,19.40732202,Danger,6/24/1990,95.69956761913043
3801,A19900625_2100_000000000000000001c6,6/25/1990 21:00,10002800,21,FCI LA TUNA CAMP,1990,87057.53,0.0047637,40.87,99.61137103,8.525350352,Extreme Caution,6/25/1990,88.59252874543478
3813,A19900625_2100_000000000000000001c7,6/25/1990 21:00,10002801,21,FSL LA TUNA (EL PASO),1990,87814.65,0.0048925,41.11,100.0826052,8.717276076,Extreme Caution,6/25/1990,89.33199172021739
3871,A19900625_2100_000000000000000005eb,6/25/1990 21:00,10002802,21,SANCHEZ STATE JAIL,1990,87814.65,0.0048925,41.11,100.0826052,8.717276076,Extreme Caution,6/25/1990,89.33199172021739
3375,A19900622_2100_0000000000000000010a,6/22/1990 21:00,10002817,21,HILLTOP UNIT,1990,98091.06,0.0131635,39.28,105.9542862,28.28587849,Danger,6/22/1990,98.21253242586955
14105,A19900830_2100_00000000000000000470,8/30/1990 21:00,10002822,21,EASTHAM PRISON AND TRUSTY CAMP,1990,100477.65,0.0148337,38.90003906,108.216927,33.18511257,Danger,8/30/1990,100.35923376413044
3376,A19900622_2100_00000000000000000482,6/22/1990 21:00,10002827,21,HOBBY PRISON,1990,99849.78,0.0134095,40.26,108.8117504,27.81408944,Danger,6/22/1990,101.21507193032609
3397,A19900622_2100_00000000000000000494,6/22/1990 21:00,10002828,21,MARLIN UNIT,1990,99849.78,0.0134095,40.26,108.8117504,27.81408944,Danger,6/22/1990,101.21507193032609
3527,A19900623_2100_0000000000000000047d,6/23/1990 21:00,10002835,21,HALBERT UNIT,1990,97013.01,0.0122497,39.96,105.9382898,25.15895973,Danger,6/23/1990,96.40236031
12449,A19900819_2100_000000000000000005e4,8/19/1990 21:00,10002838,21,PACK PRISON AND TRUSTY CAMP,1990,100614.34,0.0150187,38.13003906,106.8247613,35.05781209,Danger,8/19/1990,100.5083755525
3575,A19900623_2100_0000000000000000008b,6/23/1990 21:00,10002843,21,TRAVIS COUNTY UNIT,1990,99073.17,0.0128621,40.8,108.9834406,25.75606751,Danger,6/23/1990,99.6000642121739
14167,A19900830_2100_000000000000000005e5,8/30/1990 21:00,10002844,21,PLANE STATE JAIL,1990,100954.45,0.0162733,36.32003906,104.9321344,41.93694998,Danger,8/30/1990,98.8024353902174
14136,A19900830_2100_00000000000000000480,8/30/1990 21:00,10002845,21,HENLEY STATE JAIL,1990,100954.45,0.0162733,36.32003906,104.9321344,41.93694998,Danger,8/30/1990,98.8024353902174
142,A19900601_2100_000000000000000000fe,6/1/1990 21:00,10002851,21,VAL VERDE CORRECTIONAL FACILITY,1990,97169.99,0.0136858,39.91,107.8899655,28.12729757,Danger,6/1/1990,99.19830330717392
14128,A19900830_2100_00000000000000000478,8/30/1990 21:00,10002857,21,GIST STATE JAIL,1990,101262.29,0.0170809,35.54003906,104.662473,45.99632433,Danger,8/30/1990,98.05224974282609
14152,A19900830_2100_0000000000000000048f,8/30/1990 21:00,10002858,21,LEBLANC PRE-RELEASE FACILITY,1990,101262.29,0.0170809,35.54003906,104.662473,45.99632433,Danger,8/30/1990,98.05224974282609
14110,A19900830_2100_000000000000000001c9,8/30/1990 21:00,10002860,21,FCI BEAUMONT LOW,1990,101262.29,0.0170809,35.54003906,104.662473,45.99632433,Danger,8/30/1990,98.05224974282609
13672,A19900827_2100_00000000000000000492,8/27/1990 21:00,10002862,21,LYCHNER STATE JAIL,1990,101139.99,0.0134175,38.4,105.0280911,31.15222771,Danger,8/27/1990,99.09127554163044
204,A19900602_1800_00000000000000000603,6/2/1990 18:00,10002869,18,KEGANS STATE JAIL,1990,101323.72,0.0204079,33.16,105.4064177,62.2624162,Danger,6/2/1990,99.20565400608696
197,A19900602_1800_000000000000000001c8,6/2/1990 18:00,10002872,18,FDC HOUSTON,1990,101323.72,0.0204079,33.16,105.4064177,62.2624162,Danger,6/2/1990,99.20565400608696
3546,A19900623_2100_00000000000000000491,6/23/1990 21:00,10002876,21,LOCKHART CORRECTIONAL FACILITY,1990,99452.69,0.0124305,41.11,109.0737182,24.60591472,Danger,6/23/1990,99.8454420475
3536,A19900623_2100_000000000000000004fc,6/23/1990 21:00,10002884,21,JESTER I UNIT,1990,100972.69,0.0135749,39.2,106.9881272,30.12499403,Danger,6/23/1990,100.08599800695653
298,A19900602_2100_00000000000000000105,6/2/1990 21:00,10002885,21,VANCE UNIT,1990,101240.23,0.0196404,34.2,106.3621607,56.59519451,Danger,6/2/1990,99.75080405163044
271,A19900602_2100_0000000000000000048a,6/2/1990 21:00,10002886,21,JESTER IV (PSYCHIATRIC FACILITY),1990,101240.23,0.0196404,34.2,106.3621607,56.59519451,Danger,6/2/1990,99.75080405163044
240,A19900602_2100_0000000000000000046d,6/2/1990 21:00,10002893,21,DOMINGUEZ STATE PRISON,1990,98922.79,0.0131072,40.63,108.9563032,26.42878767,Danger,6/2/1990,99.20202683565216
14347,A19900831_2100_000000000000000000b5,8/31/1990 21:00,10002897,21,YOUNG MEDICAL FACILITY COMPLEX,1990,101221.74,0.0191298,32.83003906,102.097345,59.58451066,Extreme Caution,8/31/1990,96.01662985282609
291,A19900602_2100_000000000000000005f0,6/2/1990 21:00,10002900,21,STEVENSON PRISON,1990,100449.19,0.015948,39.07,110.492136,35.24426636,Danger,6/2/1990,100.27050065532609
272,A19900602_2100_000000000000000000fd,6/2/1990 21:00,10002904,21,KARNES COUNTY CORRECTIONAL CENTER,1990,100065.83,0.0152632,40.11,111.5585899,31.83402631,Danger,6/2/1990,100.26245293543478
236,A19900602_2100_00000000000000000467,6/2/1990 21:00,10002905,21,CONNALLY PRISON,1990,100122.15,0.0155352,39.79,111.318966,32.95676965,Danger,6/2/1990,100.09022402010869
248,A19900602_2100_000000000000000001cc,6/2/1990 21:00,10002913,21,FCI THREE RIVERS,1990,100402.47,0.0150564,41.32,114.0138195,29.55928694,Danger,6/2/1990,101.6252968846739
