FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TYPE,STATUS,POPULATION,COUNTY,COUNTRY
"10005500",CASWELL COUNTY DETENTION CENTER,231 COUNTY PARK RD,YANCEYVILLE,NC,"27379","-999",COUNTY,OPEN,"-999",CASWELL,USA
"10004187",CATAWBA COUNTY DETENTION FACILITY / JUSTICE CENTER,100 B SOUTHWEST BLVD,NEWTON,NC,"28658","-999",COUNTY,OPEN,"317",CATAWBA,USA
"10006915",JOPLIN CITY JAIL,303 E 3RD STREET,JOPLIN,MO,"64801","-999",LOCAL,OPEN,"62",JASPER,USA
"10001613",BUCHANAN COUNTY JAIL,501 FARAON ST,ST. JOSEPH,MO,"64501","-999",COUNTY,OPEN,"-999",BUCHANAN,USA
"10005388",CALDWELL COUNTY DETENTION CENTER,280 WEST MAIN STREET,KINGSTON,MO,"64650","-999",COUNTY,OPEN,"-999",CALDWELL,USA
"10004362",OLDHAM COUNTY JAIL,105 SOUTH MAIN STREET,VEGA,TX,"79092","-999",COUNTY,OPEN,"3",OLDHAM,USA
"10002745",PALO PINTO COUNTY JAIL,420 CEDAR ST,PALO PINTO,TX,"76484","-999",COUNTY,OPEN,"119",PALO PINTO,USA
"10002907",VICTORIA COUNTY JAIL,101 N GLASS ST,VICTORIA,TX,"77901","-999",COUNTY,OPEN,"375",VICTORIA,USA
"10000727",WOMEN'S COMMUNITY CORRECTION CENTER,324 NORTH 6TH STREET,ALLENTOWN,PA,"18102","-999",COUNTY,NOT AVAILABLE,"49",LEHIGH,USA
"10005513",CHATHAM COUNTY DETENTION CENTER,627 RENAISSANCE DRIVE,PITTSBORO,NC,"27312","-999",COUNTY,OPEN,"-999",CHATHAM,USA
"10005502",CHOWAN LAW ENFORCEMENT CENTER,305 WEST FREEMASON STREET,EDENTON,NC,"27932","-999",COUNTY,OPEN,"-999",CHOWAN,USA
"10002834",WALKER COUNTY JAIL,751 FM 2821 W,HUNTSVILLE,TX,"77320","-999",COUNTY,OPEN,"186",WALKER,USA
"10002852",WALLER COUNTY JAIL,701 CALVIT ST,HEMPSTEAD,TX,"77445","-999",COUNTY,OPEN,"75",WALLER,USA
"10006643",ABRAXAS I,165 ABRAXAS ROAD,MARIENVILLE,PA,"16239","-999",STATE,OPEN,"-999",FOREST,USA
"10006642",ABRAXAS ACADEMY,1000 ACADEMY DRIVE,MORGANTOWN,PA,"19543","-999",STATE,OPEN,"81",BERKS,USA
"10004046",CLAY COUNTY DETENTION CENTER,14 S WATER ST,LIBERTY,MO,"64068","-999",COUNTY,OPEN,"382",CLAY,USA
"10005390",CHARITON COUNTY JAIL / SHERIFF,307 SOUTH CHERRY STREET,KEYTESVILLE,MO,"65261","-999",COUNTY,OPEN,"-999",CHARITON,USA
"10005389",CLINTON COUNTY JAIL / SHERIFF,207 NORTH MAIN STREET,PLATTSBURG,MO,"64477","-999",COUNTY,OPEN,"-999",CLINTON,USA
"10006476",LAFAYETTE COUNTY JAIL,5 COURTHOUSE SQUARE,LEWISVILLE,AR,"71845","-999",COUNTY,OPEN,"-999",LAFAYETTE,USA
"10003448",CACHE COUNTY JAIL / SHERIFF,1225 W 200 N,LOGAN,UT,"84321","-999",COUNTY,OPEN,"220",CACHE,USA
"10005407",DENT COUNTY SHERIFF'S DEPARTMENT,112 EAST 5TH STREET,SALEM,MO,"65560","-999",COUNTY,OPEN,"46",DENT,USA
"10005544",ITAWAMBA COUNTY JAIL,201 SOUTH CUMMINGS STREET,FULTON,MS,"38843","-999",COUNTY,OPEN,"-999",ITAWAMBA,USA
"10003477",MILLARD COUNTY JAIL / SHERIFF,765 S HWY 99,FILLMORE,UT,"84631","-999",COUNTY,OPEN,"-999",MILLARD,USA
"10004265",JACKSON COUNTY ADULT DETENTION CENTER,65 BRUCE EVANS DR.,PASCAGOULA,MS,"39567","-999",COUNTY,OPEN,"309",JACKSON,USA
"10000729",YOUTH FORESTRY CAMP #3,4534 TARKILN ROAD,JAMES CREEK,PA,"16657","-999",STATE,OPEN,"24",HUNTINGDON,USA
"10001994",BEXAR COUNTY ADULT DETENTION CENTER ANNEX,222 S COMAL ST,SAN ANTONIO,TX,"78207","-999",COUNTY,OPEN,"-999",BEXAR,USA
"10003452",WEBER COUNTY JAIL / SHERIFF,721 W 12TH ST,OGDEN,UT,"84404","-999",COUNTY,OPEN,"992",WEBER,USA
"10003471",WASATCH COUNTY JAIL,1361 S US HWY 40,HEBER CITY,UT,"84032","-999",COUNTY,OPEN,"65",WASATCH,USA
"10002616",UTAH COUNTY JAIL,3075 N MAIN ST,SPANISH FORK,UT,"84660","-999",FEDERAL,OPEN,"689",UTAH,USA
"10003450",WEBER COUNTY JAIL - KIESEL FACILITY,370 26TH ST,OGDEN,UT,"84401","-999",COUNTY,OPEN,"-999",WEBER,USA
"10003486",SOUTHWEST UTAH YOUTH CENTER,270 E 1600 N,CEDAR CITY,UT,"84720","-999",STATE,OPEN,"13",IRON,USA
"10003455",FARMINGTON BAY YOUTH CENTER,907 W CLARK LANE,FARMINGTON,UT,"84025","-999",STATE,OPEN,"21",DAVIS,USA
"10006452",POTTER COUNTY INIFIRMARY,13100 NE 29TH,AMARILLO,TX,"79111","-999",COUNTY,OPEN,"-999",POTTER,USA
"10003380",VAN WERT COUNTY CORRECTIONAL FACILITY,204 N WASHINGTON ST,VAN WERT,OH,"45891","-999",COUNTY,OPEN,"-999",VAN WERT,USA
"10004381",YOUNG COUNTY JAIL,315 NORTH CLIFF DRIVE,GRAHAM,TX,"76450","-999",COUNTY,OPEN,"50",YOUNG,USA
"10006808",DOUGLAS COUNTY JAIL / SHERIFF,209 SE 2ND AVE,AVA,MO,"65608","-999",COUNTY,OPEN,"31",DOUGLAS,USA
"10001628",FRANKLIN COUNTY DETENTION FACILITY,1 BRUNS DRIVE,UNION,MO,"63084","-999",COUNTY,OPEN,"132",FRANKLIN,USA
"10001634",GREENE COUNTY JAIL,1000 N BOONVILLE AVE,SPRINGFIELD,MO,"65802","-999",COUNTY,OPEN,"714",GREENE,USA
"10003460",DECKER LAKE YOUTH CENTER,2310 W 2770 S,WEST VALLEY CITY,UT,"84119","-999",STATE,OPEN,"18",SALT LAKE,USA
"10003570",ROGERS COUNTY JAIL/AMOS G WARD DETENTION FACILITY,201 S CHEROKEE AVE,CLAREMORE,OK,"74017","-999",COUNTY,OPEN,"280",ROGERS,USA
"10003488",DIXIE AREA DETENTION CENTER / GATEWAY YOUTH CENTER,330 S 5300 W,HURRICANE,UT,"84737","-999",STATE,OPEN,"10",WASHINGTON,USA
"10003090",SHUMAN JUVENILE DETENTION CENTER,7150 HIGHLAND DRIVE,PITTSBURGH,PA,"15206","-999",COUNTY,OPEN,"60",ALLEGHENY,USA
"10003483",CANYONLANDS YOUTH HOME,244 W OLD RUIN RD,BLANDING,UT,"84511","-999",STATE,OPEN,"3",SAN JUAN,USA
"10003472",SLATE CANYON YOUTH CENTER,1991 S STATE ST,PROVO,UT,"84606","-999",STATE,OPEN,"43",UTAH,USA
"10003479",CENTRAL UTAH YOUTH CENTER,449 NO. HIGHWAY 89,RICHFIELD,UT,"84701","-999",STATE,OPEN,"4",SEVIER,USA
"10002709",YOUTH CENTER OF THE HIGH PLAINS,9300 S GEORGIA,AMARILLO,TX,"79118","-999",COUNTY,OPEN,"-999",RANDALL,USA
"10003435",WARREN COUNTY JAIL,550 JUSTICE DR,LEBANON,OH,"45036","-999",COUNTY,OPEN,"295",WARREN,USA
"10005512",DAVIDSON COUNTY DETENTION FACILITY,110 WEST CENTER STREET,LEXINGTON,NC,"27292","-999",COUNTY,OPEN,"280",DAVIDSON,USA
"10005382",HARRISON COUNTY JAIL / SHERIFF,1501 CENTRAL STREET,BETHANY,MO,"64424","-999",COUNTY,OPEN,"-999",HARRISON,USA
"10005395",HENRY COUNTY JAIL / SHERIFF,200 N. MAIN ST.,CLINTON,MO,"64735","-999",COUNTY,OPEN,"90",HENRY,USA
"10001702",SANPETE COUNTY JAIL,1500 S HWY 89,MANTI,UT,"84642","-999",COUNTY,OPEN,"-999",SANPETE,USA
"10002185",MANATEE COUNTY STOCKADE COMPLEX,14494 HARLEE RD,PALMETTO,FL,"34221","-999",COUNTY,OPEN,"-999",MANATEE,USA
"10003469",UINTAH COUNTY JAIL,641 E 300 S,VERNAL,UT,"84078","-999",COUNTY,OPEN,"-999",UINTAH,USA
"10003427",WASHINGTON COUNTY JAIL,101 WESTVIEW AVE,MARIETTA,OH,"45750","-999",COUNTY,OPEN,"126",WASHINGTON,USA
"10006838",WASHINGTON COUNTY JUVENILE CENTER,1699 COLEGATE DRIVE,MARIETTA,OH,"45750","-999",COUNTY,OPEN,"-999",WASHINGTON,USA
"10003454",SUMMIT COUNTY CORRECTIONS / JUSTICE CENTER,6300 JUSTICE CENTER RD,PARK CITY,UT,"84098","-999",COUNTY,OPEN,"59",SUMMIT,USA
"10003482",SAN JUAN COUNTY JAIL / SHERIFF'S OFFICE,297 S MAIN ST,MONTICELLO,UT,"84535","-999",COUNTY,OPEN,"-999",SAN JUAN,USA
"10005448",RICH COUNTY JAIL,20 S MAIN ST,RANDOLPH,UT,"84064","-999",COUNTY,OPEN,"-999",RICH,USA
"10005510",DAVIE COUNTY DETENTION CENTER,135 GREEN STREET,MOCKSVILLE,NC,"27028","-999",COUNTY,OPEN,"-999",DAVIE,USA
"10005880",IRON COUNTY JAIL,220 SOUTH SHEPHERD STREET,IRONTON,MO,"63650","-999",COUNTY,OPEN,"-999",IRON,USA
"10006809",JACKSON COUNTY REGIONAL CORRECTIONAL CENTER,505 E. 13TH STREET,KANSAS CITY,MO,"64106","-999",COUNTY,OPEN,"139",JACKSON,USA
"10001762",DURHAM COUNTY DETENTION FACILITY,219 S MANGUM ST,DURHAM,NC,"27701","-999",COUNTY,OPEN,"494",DURHAM,USA
"10003464","UTAH STATE PRISON, DRAPER - NORTH COMPLEX",WEST 13800 SOUTH,DRAPER,UT,"84020","-999",STATE,OPEN,"994",SALT LAKE,USA
"10003465","UTAH STATE PRISON, DRAPER - SOUTH COMPLEX",14425 BITTERBRUSH LANE,DRAPER,UT,"84020","-999",STATE,OPEN,"1839",SALT LAKE,USA
"10003379",WAYNE COUNTY JAIL,201 W NORTH ST,WOOSTER,OH,"44691","-999",COUNTY,OPEN,"270",WAYNE,USA
"10003361",WOOD COUNTY JUSTICE CENTER,1960 E GYPSY LANE RD,BOWLING GREEN,OH,"43402","-999",COUNTY,OPEN,"158",WOOD,USA
"10002617",CENTRAL UTAH CORRECTIONAL FACILITY,255 E 300 N ST,GUNNISON,UT,"84634","-999",STATE,OPEN,"1700",SANPETE,USA
"10003453",MILL CREEK YOUTH CENTER,790 W 12TH ST,OGDEN,UT,"84404","-999",STATE,OPEN,"32",WEBER,USA
"10000985",ATHENS COUNTY JAIL,13 W WASHINGTON ST,ATHENS,OH,"45701","-999",COUNTY,OPEN,"-999",ATHENS,USA
"10001701",WASATCH YOUTH CENTER,3534 S 700 W,SALT LAKE CITY,UT,"84119","-999",STATE,OPEN,"22",SALT LAKE,USA
"10004063",JEFFERSON COUNTY JAIL,510 1ST ST,HILLSBORO,MO,"63050","-999",COUNTY,OPEN,"-999",JEFFERSON,USA
"10006810",JOHNSON COUNTY JUVENILE DETENTION CENTER,101 WEST MARKET,WARRENSBURG,MO,"64093","-999",COUNTY,OPEN,"-999",JOHNSON,USA
"10003447",CACHE VALLEY YOUTH CENTER,2051 N 600 W,LOGAN,UT,"84321","-999",STATE,OPEN,"7",CACHE,USA
"10003461",SALT LAKE VALLEY DETENTION CENTER / GENESIS YOUTH CENTER,3450 S 900 W,SALT LAKE CITY,UT,"84119","-999",STATE,OPEN,"79",SALT LAKE,USA
"10001699",WEBER VALLEY YOUTH DETENTION CENTER,5470 S 2700 W,ROY,UT,"84067","-999",STATE,OPEN,"17",WEBER,USA
"10002934",ZAPATA REGIONAL JAIL,2200 KENNEDY ST,ZAPATA,TX,"78076","-999",COUNTY,OPEN,"240",ZAPATA,USA
"10005890",LAWRENCE COUNTY JAIL,240 NORTH MAIN STREET,MOUNT VERNON,MO,"65712","-999",COUNTY,OPEN,"63",LAWRENCE,USA
"10005905",MCDONALD COUNTY JAIL,300 EAST 7TH STREET,PINEVILLE,MO,"64856","-999",COUNTY,OPEN,"43",MCDONALD,USA
"10001672",ALLEN COUNTY JAIL,333 N MAIN ST,LIMA,OH,"45801","-999",COUNTY,OPEN,"-999",ALLEN,USA
"10005432",COSHOCTON COUNTY JAIL,328 CHESTNUT STREET,COSHOCTON,OH,"43812","-999",COUNTY,OPEN,"58",COSHOCTON,USA
"10005844",MACON COUNTY JAIL,101 E WASHINGTON STREET,MACON,MO,"63552","-999",COUNTY,OPEN,"-999",MACON,USA
"10005845",MARION COUNTY JAIL,1703 MARION CITY ROAD,PALMYRA,MO,"63461","-999",COUNTY,OPEN,"102",MARION,USA
"10005873",MILLER COUNTY JAIL,1999 STATE HIGHWAY 52,TUSCUMBIA,MO,"65082","-999",COUNTY,OPEN,"-999",MILLER,USA
"10005855",MONTGOMERY COUNTY JAIL,211 EAST THIRD STREET,MONTGOMERY CITY,MO,"63361","-999",COUNTY,OPEN,"-999",MONTGOMERY,USA
"10005464",CIMARRON COUNTY JAIL / COURTHOUSE,1 COURTHOUSE SQUARE,BOISE CITY,OK,"73933","-999",COUNTY,OPEN,"3",CIMARRON,USA
"10005582",LAWRENCE COUNTY JAIL,1565 FE SELLERS HIGHWAY,MONTICELLO,MS,"39654","-999",COUNTY,OPEN,"-999",LAWRENCE,USA
"10005900",NEW MADRID COUNTY JAIL,2 COURTHOUSE SQUARE,NEW MADRID,MO,"63869","-999",COUNTY,OPEN,"-999",NEW MADRID,USA
"10004144",HERTFORD COUNTY DETENTION CENTER,701 N TAYLOR ST,WINTON,NC,"27986","-999",COUNTY,OPEN,"-999",HERTFORD,USA
"10005893",NEWTON COUNTY JAIL,208 WEST COLER STREET,NEOSHO,MO,"64850","-999",COUNTY,OPEN,"-999",NEWTON,USA
"10005869",OSAGE COUNTY JAIL,106 EAST MAIN STREET,LINN,MO,"65051","-999",COUNTY,OPEN,"-999",OSAGE,USA
"10005393",PETTIS COUNTY JAIL,333 SOUTH LAMINE,SEDALIA,MO,"65301","-999",COUNTY,OPEN,"143",PETTIS,USA
"10003288",LYNCHBURG REGIONAL JUVENILE DETENTION CENTER,1400 FLORIDA AVE,LYNCHBURG,VA,"24501","-999",COUNTY,OPEN,"-999",LYNCHBURG,USA
"10004397",RUNNELS COUNTY JAIL,200 SOUTH HICKORY HILL DRIVE,BALLINGER,TX,"76821","-999",COUNTY,OPEN,"36",RUNNELS,USA
"10005475",CUSTER COUNTY JAIL,300 N 7TH AVENUE,ARAPAHO,OK,"73620","-999",COUNTY,OPEN,"-999",CUSTER,USA
"10004302",IOWA COUNTY JAIL,960 FRANKLYN AVENUE,MARENGO,IA,"52301","-999",COUNTY,OPEN,"-999",IOWA,USA
"10004299",AUDUBON COUNTY JAIL,318 LEROY STREET,AUDUBON,IA,"50025","-999",COUNTY,OPEN,"-999",AUDUBON,USA
"10006040",KIOWA COUNTY JAIL,301 S JEFFERSON,HOBART,OK,"73651","-999",COUNTY,OPEN,"-999",KIOWA,USA
"10006021",LOGAN COUNTY JAIL,216 S BROAD ST,GUTHRIE,OK,"73044","-999",COUNTY,OPEN,"-999",LOGAN,USA
"10006041",LATIMER COUNTY JAIL,109 N CENTRAL AVE,WILBURTON,OK,"74578","-999",COUNTY,OPEN,"28",LATIMER,USA
"10005846",RANDOLPH COUNTY JAIL,372 STATE HIGHWAY JJ,HUNTSVILLE,MO,"65259","-999",COUNTY,OPEN,"49",RANDOLPH,USA
"10003222",ANNA M KROSS CENTER,18-18 HAZEN ST,EAST ELMHURST,NY,"11370","-999",LOCAL,OPEN,"-999",BRONX,USA
"10006273",TAMA COUNTY JAIL,100 N. MAIN ST,TOLEDO,IA,"52342","0034",COUNTY,OPEN,"-999",TAMA,USA
"10004957",WASHINGTON COUNTY JAIL,2185 LEXINGTON BOULEVARD,WASHINGTON,IA,"52353","-999",COUNTY,OPEN,"-999",WASHINGTON,USA
"10001080",NORTH CENTRAL CORRECTIONAL FACILITY,313 LANEDALE,ROCKWELL CITY,IA,"50579","-999",STATE,OPEN,"485",CALHOUN,USA
"10001082",ANAMOSA STATE PENITENTIARY,406 N HIGH ST,ANAMOSA,IA,"52205","-999",STATE,OPEN,"927",JONES,USA
"10001091",IOWA MEDICAL & CLASSIFICATION CENTER,2700 CORAL RIDGE AVE,CORALVILLE,IA,"52241","-999",STATE,OPEN,"894",JOHNSON,USA
"10003223",JAMES A THOMAS CENTER,14-14 HAZEN ST,EAST ELMHURST,NY,"11370","-999",LOCAL,CLOSED,"0",BRONX,USA
"10004047",SALINE COUNTY JAIL,1915 W ARROW ST,MARSHALL,MO,"65340","-999",COUNTY,OPEN,"53",SALINE,USA
"10001090",NEWTON CORRECTIONAL FACILITY,307 SOUTH 60TH AVENUE WEST,NEWTON,IA,"50208","-999",STATE,OPEN,"1292",JASPER,USA
"10006029",MCINTOSH COUNTY JAIL,1425 INDUTRIAL DRIVE,EUFAULA,OK,"74432","-999",COUNTY,OPEN,"-999",MCINTOSH,USA
"10006016",MAYES COUNTY JAIL,34 N ADAIR ST,PRYOR,OK,"74361","-999",COUNTY,OPEN,"115",MAYES,USA
"10006252",KENNEBEC COUNTY JAIL,115 STATE ST,AUGUSTA,ME,"04330","-999",COUNTY,OPEN,"151",KENNEBEC,USA
"10002926",SAN PATRICIO COUNTY JUVENILE DETENTION CENTER,107 W 5TH ST,SINTON,TX,"78387","-999",COUNTY,OPEN,"-999",SAN PATRICIO,USA
"10006049",MURRAY COUNTY JAIL,700 W 10TH ST,SULPHUR,OK,"73086","-999",COUNTY,OPEN,"-999",MURRAY,USA
"10005857",WARREN COUNTY JAIL,104 WEST MAIN STREET,WARRENTON,MO,"63383","-999",COUNTY,OPEN,"-999",WARREN,USA
"10002180",POLK COUNTY JUVENILE BOOT CAMP,2325 BOB PHILLIPS RD,BARTOW,FL,"33830","-999",COUNTY,OPEN,"0",POLK,USA
"10005939",EAST CLEVELAND CITY JAIL,14340 EUCLID AVE,EAST CLEVELAND,OH,"44112","-999",LOCAL,OPEN,"-999",CUYAHOGA,USA
"10006927",NEWPORT NEWS CITY JAIL ANNEX,228 25TH STREET,NEWPORT NEWS,VA,"23607","-999",LOCAL,OPEN,"-999",NEWPORT NEWS,USA
"10001266",SCURRY COUNTY JAIL,1300 26TH ST,SNYDER,TX,"79549","-999",COUNTY,OPEN,"100",SCURRY,USA
"10003577",OKLAHOMA COUNTY DETENTION CENTER,201 N SHARTEL AVE,OKLAHOMA CITY,OK,"73102","-999",COUNTY,OPEN,"2700",OKLAHOMA,USA
"10004401",SHELBY COUNTY JAIL,100 HURST STREET,CENTER,TX,"75935","-999",COUNTY,OPEN,"46",SHELBY,USA
"10002875",AUSTIN COUNTY JAIL,417 N CHESLEY ST,BELLVILLE,TX,"77418","-999",COUNTY,OPEN,"0",AUSTIN,USA
"10006133",BENTON COUNTY JAIL,368 RIPLEY AVENUE,ASHLAND,MS,"38603","-999",COUNTY,OPEN,"-999",BENTON,USA
"10005942",WESTLAKE CITY JAIL,27300 HILLIARD BLVD,WESTLAKE,OH,"44145","-999",LOCAL,OPEN,"-999",CUYAHOGA,USA
"10004355",SHERMAN COUNTY JAIL,701 NORTH 3RD STREET,STRATFORD,TX,"79084","-999",COUNTY,OPEN,"6",SHERMAN,USA
"10006839",OKLAHOMA COUNTY JUVENILE DETENTION FACILITY,5905 N CLASSEN COURT,OKLAHOMA CITY,OK,"73118","-999",COUNTY,OPEN,"-999",OKLAHOMA,USA
"10006025",OKMULGEE COUNTY JAIL,315 W 8TH ST,OKMULGEE,OK,"74447","-999",COUNTY,OPEN,"278",OKMULGEE,USA
"10003563",KENT COUNTY JAIL,222 QUAKER LANE,WARWICK,RI,"02886","-999",COUNTY,NOT AVAILABLE,"-999",KENT,USA
"10005943",NORTH OLMSTED CITY JAIL,27243 LORAIN RD,NORTH OLMSTED,OH,"44070","-999",LOCAL,OPEN,"-999",CUYAHOGA,USA
"10003564",WASHINGTON COUNTY JAIL,4800 TOWER HILL RD,WAKEFIELD,RI,"02879","-999",COUNTY,NOT AVAILABLE,"-999",WASHINGTON,USA
"10004093",EVANGELINE PARISH JAIL,200 COURT ST,VILLE PLATTE,LA,"70586","-999",COUNTY,OPEN,"133",EVANGELINE,USA
"10005507",NASH COUNTY DETENTION FACILITY,222 WEST WASHINGTON STREET,NASHVILLE,NC,"27856","-999",COUNTY,OPEN,"-999",NASH,USA
"10004630",VENICE POLICE DEPARTMENT,1350 RIDGEWOOD AVENUE,VENICE,FL,"34292","-999",LOCAL,OPEN,"-999",SARASOTA,USA
"10002766",SMITH COUNTY JAIL - LOW RISK DIVISION,2811 PUBLIC RD,TYLER,TX,"75702","-999",COUNTY,OPEN,"400",SMITH,USA
"10006872",SMITH COUNTY COURTHOUSE JAIL,100 N BROADWAY,TYLER,TX,"75701","-999",COUNTY,CLOSED,"-999",SMITH,USA
"10001267",STEPHENS COUNTY LAW ENFORCEMENT CENTER,210 EAST DYER,BRECKENRIDGE,TX,"76424","-999",COUNTY,OPEN,"25",STEPHENS,USA
"10005946",SOLON CITY DETENTION CENTER,33000 SOLON RD,SOLON,OH,"44139","-999",LOCAL,OPEN,"-999",CUYAHOGA,USA
"10006236",APPLING COUNTY JAIL,560 BARNES STREET,BAXLEY,GA,"31513","-999",COUNTY,OPEN,"-999",APPLING,USA
"10005593",PIKE COUNTY JUVENILE DETENTION CENTER,100 5TH AVENUE,MCCOMB,MS,"39648","-999",COUNTY,CLOSED,"0",PIKE,USA
"10000506",KINGSLEY CENTER,5867 SE STATE HWY 31,ARCADIA,FL,"34266","-999",NOT AVAILABLE,CLOSED,"0",DESOTO,USA
"10000167",TARRANT COUNTY JAIL - GREENBAY,2500 URBAN DR,FORT WORTH,TX,"76106","-999",COUNTY,OPEN,"726",TARRANT,USA
"10006841",WOODWARD COUNTY JAIL,1600 MAIN STREET,WOODWARD,OK,"73801","-999",COUNTY,OPEN,"-999",WOODWARD,USA
"10001998",CLACKAMAS COUNTY JAIL,2206 KAEN RD,OREGON CITY,OR,"97045","-999",COUNTY,OPEN,"423",CLACKAMAS,USA
"10004422",TERRELL COUNTY JAIL,105 EAST HACKBERRY STREET,SANDERSON,TX,"79848","-999",COUNTY,OPEN,"2",TERRELL,USA
"10002952",COLUMBIA COUNTY JAIL,901 PORT AVE,ST. HELENS,OR,"97051","-999",COUNTY,OPEN,"140",COLUMBIA,USA
"10005138",CURRY COUNTY JAIL,29808 COLVIN STREET,GOLD BEACH,OR,"97444","-999",COUNTY,OPEN,"34",CURRY,USA
