OBJECTID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,Shape__Are,Shape__Len,_FACILITYID,V003,V074,HYBRID_POP,X2019
"3085","10003084",FCI LORETTO CAMP,772 SAINT JOSEPH ST,LORETTO,PA,"15940","-999",(814) 472-4140,FEDERAL,OPEN,"71",CAMBRIA,"42021",USA,"922140",CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/lor/,2016/02/16,IMAGERY/OTHER,2024/01/19,https://www.bop.gov/locations/institutions/lor/,MINIMUM,"-999",0.000002268022172,0.006299220239664,"10003084",,,"71","7.40000009536743"
"3813","10002428",BELMONT CORRECTIONAL INSTITUTION,68518 BANNOCK RD,ST. CLAIRSVILLE,OH,"43950","-999",(740) 695-5169,STATE,OPEN,"-999",BELMONT,"39013",USA,"922140",CORRECTIONAL INSTITUTIONS,https://drc.ohio.gov/about/facilities/belmont/belmont-correctional,2017/12/04,IMAGERY/OTHER,2024/03/25,https://drc.ohio.gov/about/facilities/belmont/belmont-correctional,CLOSE,"-999",0.000016219193867,0.016199016367289,"10002428",POH009,"2701","2701","7.5"
"4490","10003415",NOBLE CORRECTIONAL INSTITUTION,15708 MCCONNELSVILLE RD,CALDWELL,OH,"43724","-999",(740) 732-5188,STATE,OPEN,"-999",NOBLE,"39121",USA,"922140",CORRECTIONAL INSTITUTIONS,https://drc.ohio.gov/about/facilities/noble-correctional/noble-correctional,2015/03/12,IMAGERY/OTHER,2024/03/25,https://drc.ohio.gov/about/facilities/noble-correctional/noble-correctional,MEDIUM,"-999",0.000016024541992,0.015818985912752,"10003415",POH030,"2462","2462","6.95000004768372"
"4606","10001572",COFFEEWOOD CORRECTIONAL CENTER,12352 COFFEEWOOD DR,MITCHELLS,VA,"22729","-999",(540) 829-6483,STATE,OPEN,"-999",CULPEPER,"51047",USA,"922140",CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/facilities-and-offices/,2015/09/29,IMAGERY/OTHER,2024/05/01,https://vadoc.virginia.gov/facilities-and-offices/,MEDIUM,"-999",0.000017306372911,0.016310001519508,"10001572",PVA012,"998","998","6.04999995231628"
"4612","10003255",COLD SPRINGS CORRECTIONAL UNIT #10,221 SPITLER CIRCLE,GREENVILLE,VA,"24440","-999",(540) 337-1818,STATE,OPEN,"-999",AUGUSTA,"51015",USA,"922140",CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/facilities-and-offices/,2015/11/20,IMAGERY/OTHER,2020/02/24,https://vadoc.virginia.gov/facilities-and-offices/,MINIMUM,"-999",0.000001505145292,0.005832803121957,"10003255",PVA013,"114","114","6.40000009536743"
"4617","10001579",STATE FARM CORRECTIONAL CENTER,3500 WOODS WAY,STATE FARM,VA,"23160","-999",(804) 598-5503,STATE,OPEN,"-999",POWHATAN,"51145",USA,"922140",CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/facilities-and-offices/,2017/04/20,IMAGERY/OTHER,2024/05/01,https://vadoc.virginia.gov/facilities-and-offices/,MEDIUM,"-999",0.000005507091828,0.009092351239116,"10001579",PVA017,"691","691","6.29999995231628"
"4626","10003289",RUSTBURG CORRECTIONAL UNIT,479 CAMP NINE RD,RUSTBURG,VA,"24588","-999",(434) 332-7354,STATE,OPEN,"-999",CAMPBELL,"51031",USA,"922140",CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/facilities-and-offices/,2017/07/06,IMAGERY/OTHER,2020/02/24,https://vadoc.virginia.gov/facilities-and-offices/,MINIMUM,"-999",0.000001175299303,0.005730123677009,"10003289",PVA046,"153","153","6"
"4637","10003256",COLD SPRINGS DETENTION AND DIVERSION CENTER,192 SPITLER CIRCLE,GREENVILLE,VA,"24440","-999",(540) 569-3702,STATE,OPEN,"-999",AUGUSTA,"51015",USA,"922140",CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/facilities-and-offices/,2018/01/22,IMAGERY/OTHER,2024/05/02,https://vadoc.virginia.gov/facilities-and-offices/,MINIMUM,"-999",0.000001117626653,0.004230681446495,"10003256",PVA015,"145","145","6.45000004768372"
"4638","10005834",POCAHONTAS STATE CORRECTIONAL CENTER,317 OLD MOUNTAIN ROAD,POCAHONTAS,VA,"24635","0518",(276) 945-9173,STATE,OPEN,"-999",TAZEWELL,"51185",USA,"922140",CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/facilities-and-offices/,2017/05/11,IMAGERY/OTHER,2024/05/02,https://vadoc.virginia.gov/facilities-and-offices/,MEDIUM,"-999",0.000006491657359,0.009555558823164,"10005834",PVA041,"1038","1038","6.5"
"4641","10003247",HARRISONBURG DETENTION AND DIVERSION CENTER,6624 BEARD WOODS LANE,HARRISONBURG,VA,"22802","-999",(540) 833-2011,STATE,OPEN,"-999",ROCKINGHAM,"51165",USA,"922140",CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/facilities-and-offices/,2016/04/06,IMAGERY/OTHER,2024/05/02,https://vadoc.virginia.gov/facilities-and-offices/,MINIMUM,"-999",0.000001786911298,0.006560889841970,"10003247",PVA028,"107","107","6.30000019073486"
"4643","10001581",POWHATAN RECEPTION CENTER,3600 WOODS WAY,STATE FARM,VA,"23160","-999",(804) 598-4251,STATE,OPEN,"326",POWHATAN,"51145",USA,"922140",CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/facilities-and-offices/,2016/07/26,IMAGERY/OTHER,2016/07/26,https://vadoc.virginia.gov/facilities-and-offices/,MAXIMUM,"518",0.000000840497023,0.003687229847825,"10001581",PVA042,"365","365","6.30000019073486"
"4954","10001583",KEEN MOUNTAIN CORRECTIONAL CENTER,3402 KENNEL GAP ROAD,OAKWOOD,VA,"24631","-999",(276) 498-7411,STATE,OPEN,"-999",BUCHANAN,"51027",USA,"922140",CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/facilities-and-offices/,2014/11/18,IMAGERY/OTHER,2024/05/01,https://vadoc.virginia.gov/facilities-and-offices/,CLOSE,"-999",0.000010384584584,0.012276162154577,"10001583",PVA033,"719","719","6.45000004768372"
"5035","10006185",EASTERN OHIO CORRECTION CENTER - MALE CENTER,470 STATE ROUTE 43,WINTERSVILLE,OH,"43953","-999",(740) 765-4324,STATE,OPEN,"74",JEFFERSON,"39081",USA,"922140",CORRECTIONAL INSTITUTIONS,http://www.eocc41.org/male-facility.html,2024/06/03,IMAGERY/OTHER,2024/06/03,http://www.eocc41.org/male-facility.html,MEDIUM,"86",0.000000414092028,0.003442675496266,"10006185",,,"74","7.40000009536743"
"5140","10000014",PRUNTYTOWN CORRECTIONAL CENTER,2006 TRAP SPRINGS RD,GRAFTON,WV,"26354","-999",(304) 265-6111,STATE,OPEN,"-999",TAYLOR,"54091",USA,"922140",CORRECTIONAL INSTITUTIONS,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/pccj.aspx,2018/01/22,IMAGERY/OTHER,2024/05/29,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/pccj.aspx,MEDIUM,"369",0.000012693311191,0.017996666822661,"10000014",PWV017,"364","364","6.54999995231628"
"5146","10000013",ST MARY'S CORRECTIONAL CENTER,2880 N. PLEASANTS HIGHWAY,ST. MARYS,WV,"26170","-999",(304) 684-5500,STATE,OPEN,"-999",PLEASANTS,"54073",USA,"922140",CORRECTIONAL INSTITUTIONS,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/smccj.aspx,2018/01/22,IMAGERY/OTHER,2024/05/29,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/smccj.aspx,MEDIUM,"610",0.000008674834135,0.013592655914417,"10000013",PWV021,"627","627","6.93333339691162"
"5172","10000983",SOUTHEASTERN CORRECTIONAL COMPLEX - LANCASTER,5900 BIS ROAD SW,LANCASTER,OH,"43130","-999",(740) 653-4324,STATE,OPEN,"-999",FAIRFIELD,"39045",USA,"922140",CORRECTIONAL INSTITUTIONS,https://drc.ohio.gov/about/facilities/southeastern-correctional-institution/southeastern-correctional,2016/03/18,IMAGERY/OTHER,2024/03/26,https://drc.ohio.gov/about/facilities/southeastern-correctional-institution/southeastern-correctional,MEDIUM,"-999",0.000013161302149,0.022818663912579,"10000983",POH050,"1594","1594","7.40000009536743"
"5275","10006674",HUTTONSVILLE WORK CAMP,"US HWY 250 S, P.O. BOX 1",HUTTONSVILLE,WV,"26273","-999",(304) 335-2291,STATE,OPEN,"-999",RANDOLPH,"54083",USA,"922140",CORRECTIONAL INSTITUTIONS,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/hccj.aspx,2018/01/22,IMAGERY/OTHER,2020/03/03,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/hccj.aspx,MINIMUM,"48",0.000000086059572,0.001215009765299,"10006674",PWV009,"46","46","6.59999990463257"
"5285","10001106",ANTHONY CORRECTIONAL CENTER,313 ANTHONY CENTER DRIVE,WHITE SULPHUR SPRINGS,WV,"24986","-999",(304) 536-3911,STATE,OPEN,"-999",GREENBRIER,"54025",USA,"922140",CORRECTIONAL INSTITUTIONS,https://dcr.wv.gov/facilities/Pages/community-corrections/acc.aspx,2018/01/22,IMAGERY/OTHER,2024/05/29,https://dcr.wv.gov/facilities/Pages/community-corrections/acc.aspx,MINIMUM,"-999",0.000003526241699,0.008378952213241,"10001106",,,,"6.30000019073486"
"5291","10000028",DENMAR CORRECTIONAL CENTER,4319 DENMAR ROAD,HILLSBORO,WV,"24946","-999",(304) 653-4201,STATE,OPEN,"-999",POCAHONTAS,"54075",USA,"922140",CORRECTIONAL INSTITUTIONS,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/dccj.aspx,2018/01/22,IMAGERY/OTHER,2024/05/29,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/dccj.aspx,MEDIUM,"232",0.000003238118097,0.009435803712000,"10000028",PWV004,"197","197","6.30000019073486"
"5747","10003109",SCI FAYETTE,50 OVERLOOK DR,LABELLE,PA,"15450","-999",(724) 364-2200,STATE,OPEN,"-999",FAYETTE,"42051",USA,"922140",CORRECTIONAL INSTITUTIONS,https://www.cor.pa.gov/About%20Us/Statistics/Documents/current%20monthly%20population.pdf,2017/11/30,IMAGERY/OTHER,2024/04/08,https://www.cor.pa.gov/Facilities/StatePrisons/Pages/Fayette.aspx,MAXIMUM,"2163",0.000022568177428,0.019869810315378,"10003109",PPA060,"2067","2067","7.83333333333333"
"5894","10003405",BELMONT CAMP,68518 BANNOCK RD,ST. CLAIRSVILLE,OH,"43950","-999",(740) 695-5169,STATE,OPEN,"-999",BELMONT,"39013",USA,"922140",CORRECTIONAL INSTITUTIONS,https://drc.ohio.gov/about/facilities/belmont/belmont-correctional,2017/12/04,IMAGERY/OTHER,2024/03/26,https://drc.ohio.gov/about/facilities/belmont/belmont-correctional,MINIMUM,"-999",0.000002345156872,0.005743211329002,"10003405",,,,"7.5"
"6246","10000923",DILLWYN CORRECTIONAL CENTER,1522 PRISON RD,DILLWYN,VA,"23936","-999",(434) 983-4200,STATE,OPEN,"-999",BUCKINGHAM,"51029",USA,"922140",CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/facilities-and-offices/,2017/09/19,IMAGERY/OTHER,2024/05/01,https://vadoc.virginia.gov/facilities-and-offices/,MEDIUM,"-999",0.000017163658413,0.016263963514780,"10000923",PVA021,"918","918","5.69999980926514"
"6249","10003268",FLUVANNA CORRECTIONAL CENTER FOR WOMEN,144 PRISON LANE,TROY,VA,"22974","-999",(434) 984-3700,STATE,OPEN,"-999",FLUVANNA,"51065",USA,"922140",CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/facilities-and-offices/,2017/09/27,IMAGERY/OTHER,2024/05/01,https://vadoc.virginia.gov/facilities-and-offices/,MAXIMUM,"-999",0.000010049922139,0.012940059170330,"10003268",PVA022,"1201","1201","6"
"6258","10001573",AUGUSTA CORRECTIONAL CENTER,1821 ESTALINE VALLEY RD,CRAIGSVILLE,VA,"24430","-999",(540) 997-7000,STATE,OPEN,"-999",AUGUSTA,"51015",USA,"922140",CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/facilities-and-offices/,2017/06/08,IMAGERY/OTHER,2024/05/01,https://vadoc.virginia.gov/facilities-and-offices/,CLOSE,"-999",0.000010411989479,0.012577014855917,"10001573",PVA003,"1338","1338","6.29999995231628"
"6259","10001575",VIRGINIA CORRECTIONAL CENTER FOR WOMEN,2841 RIVER RD,GOOCHLAND,VA,"23063","-999",(804) 556-7500,STATE,OPEN,"-999",GOOCHLAND,"51075",USA,"922140",CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/facilities-and-offices/,2018/01/19,IMAGERY/OTHER,2024/05/01,https://vadoc.virginia.gov/facilities-and-offices/,MEDIUM,"-999",0.000021834191784,0.021089207324702,"10001575",PVA053,"522","522","6.14999985694885"
"6277","10006992",WESTERN VIRGINIA REGIONAL JAIL,5885 W RIVER RD,SALEM,VA,"24153","-999",(540) 378-3700,STATE,OPEN,"883",ROANOKE,"51161",USA,"922140",CORRECTIONAL INSTITUTIONS,"https://www.wvarj.org/, https://www.wvarj.org/DocumentCenter/View/561/Annual-PREA-report-2018",2020/04/22,IMAGERY,2024/05/02,https://www.wvarj.org/,MAXIMUM,"1021",0.000003260480980,0.010475223997755,"10006992",,,"883","6.69999992847443"
"6306","10006146",SALEM CORRECTIONAL CENTER,7 INDUSTRIAL BOULEVARD,INDUSTRIAL,WV,"26426","-999",(304) 782-2371,STATE,OPEN,"-999",HARRISON,"54033",USA,"922140",CORRECTIONAL INSTITUTIONS,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/sccj.aspx,2018/01/22,IMAGERY/OTHER,2024/05/29,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/sccj.aspx,MEDIUM,"-999",0.000005753811593,0.015089963290970,"10006146",PWV018,"387","387","6.62499988079071"
"6316","10000025",LAKIN CORRECTIONAL CENTER,11264 OHIO RIVER ROAD,WEST COLUMBIA,WV,"25287","-999",(304) 674-2440,STATE,OPEN,"-999",MASON,"54053",USA,"922140",CORRECTIONAL INSTITUTIONS,http://wvde.state.wv.us/odtp/Schools/LakinCorrectionalCenter.htm,2020/03/03,IMAGERY/OTHER,2024/05/29,http://wvde.state.wv.us/odtp/Schools/LakinCorrectionalCenter.htm,MAXIMUM,"543",0.000008676316384,0.017219475417043,"10000025",PWV010,"520","520","7.59999990463257"
"6317","10001879",MT. OLIVE CORRECTIONAL COMPLEX,1 MOUNTAINSIDE WAY,MT. OLIVE,WV,"25185","-999",(304) 442-7213,STATE,OPEN,"-999",FAYETTE,"54019",USA,"922140",CORRECTIONAL INSTITUTIONS,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/moccj.aspx,2020/03/03,IMAGERY/OTHER,2024/05/29,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/moccj.aspx,MAXIMUM,"1030",0.000015450067394,0.015772420116305,"10001879",PWV013,"1005","1005","6.30000019073486"
"6322","10005978",STAR - ATHENS CAMPUS,7 W TWENTY-NINE DR,NELSONVILLE,OH,"45764","-999",(740) 753-5000,STATE,OPEN,"70",ATHENS,"39009",USA,"922140",CORRECTIONAL INSTITUTIONS,https://www.drc.ohio.gov/septa,2017/06/15,IMAGERY/OTHER,2024/06/03,https://www.drc.ohio.gov/septa,MINIMUM,"112",0.000000424349309,0.003542036973811,"10005978",,,"70","7"
"15","10000450",TOMOKA CRC,3601 US HWY 92 WEST,DAYTONA BEACH,FL,"32124","1002",(386) 254-1187,STATE,OPEN,"-999",VOLUSIA,"12127",USA,"922140",CORRECTIONAL INSTITUTIONS,https://fdc.myflorida.com/org/facilitydir.html,2024/02/15,IMAGERY/OTHER,2024/04/01,https://smahealthcare.org/services/volusia-county/,MINIMUM,"-999",0.000000941440021,0.003800922266251,"10000450",PFL150,"84","84","6.19999980926514"
"73","10000356",HOLMES CORRECTIONAL INSTITUTION,3142 THOMAS DR,BONIFAY,FL,"32425","0190",(850) 547-8600,STATE,OPEN,"-999",HOLMES,"12059",USA,"922140",CORRECTIONAL INSTITUTIONS,https://fdc.myflorida.com/org/facilitydir.html,2024/02/14,IMAGERY/OTHER,2024/02/14,https://fdc.myflorida.com/ci/107.html,CLOSE,"1185",0.000013025672843,0.014558767423558,"10000356",PFL068,"1212","1212","7.79999995231628"
"215","10000360",WALTON CORRECTIONAL INSTITUTION,691 INSTITUTION RD,DEFUNIAK SPRINGS,FL,"32433","1831",(850) 951-1300,STATE,OPEN,"-999",WALTON,"12131",USA,"922140",CORRECTIONAL INSTITUTIONS,https://fdc.myflorida.com/org/facilitydir.html,2024/02/14,IMAGERY/OTHER,2024/02/14,https://fdc.myflorida.com/ci/108.html,CLOSE,"1201",0.000013465158190,0.014949431441063,"10000360",PFL162,"1255","1255","8.00000023841858"
"237","10006331",CROSS CITY EAST UNIT,568 NE 255TH ST,CROSS CITY,FL,"32628","-999",(352) 498-4900,STATE,OPEN,"-999",DIXIE,"12029",USA,"922140",CORRECTIONAL INSTITUTIONS,https://fdc.myflorida.com/org/facilitydir.html,2024/02/14,IMAGERY/OTHER,2024/02/14,https://fdc.myflorida.com/ci/269.html,NOT AVAILABLE,"432",0.000002967798991,0.006910110276614,"10006331",PFL035,"375","375","7.40000009536743"
"367","10000502",DESOTO CORRECTIONAL INSTITUTION,13617 SE HWY 70,ARCADIA,FL,"34266","-999",NOT AVAILABLE,STATE,NOT AVAILABLE,"0",DESOTO,"12027",USA,"922140",CORRECTIONAL INSTITUTIONS,NOT AVAILABLE,2024/02/15,IMAGERY/OTHER,2024/02/15,NOT AVAILABLE,CLOSE,"-999",0.000008738047654,0.012029300915098,"10000502",,,"0","6.35000014305115"
"368","10000386",HAMILTON WORK CAMP,10650 SW 46TH ST,JASPER,FL,"32052","1360",(386) 792-5990,STATE,CLOSED,"0",HAMILTON,"12047",USA,"922140",CORRECTIONAL INSTITUTIONS,https://fdc.myflorida.com/org/facilitydir.html,2024/02/14,IMAGERY/OTHER,2024/02/14,https://fdc.myflorida.com/ci/215.html,MINIMUM,"-999",0.000001686215910,0.005225214538411,"10000386",PFL062,"282","282","7.19999980926514"
"395","10000417",UNION CORRECTIONAL INSTITUTION,25636 NE SR-16,RAIFORD,FL,"32083","-999",(386) 431-2000,STATE,OPEN,"-999",UNION,"12125",USA,"922140",CORRECTIONAL INSTITUTIONS,https://fdc.myflorida.com/org/facilitydir.html,2024/02/14,IMAGERY/OTHER,2024/02/14,https://fdc.myflorida.com/ci/213.html,MAXIMUM,"1486",0.000025337533543,0.020444970853123,"10000417",PFL158,"1752","1752","7.30000019073486"
"396","10004573",TAYLOR CORRECTIONAL INSTITUTION ANNEX,8501 HAMPTON SPRINGS ROAD,PERRY,FL,"32348","8747",NOT AVAILABLE,STATE,CLOSED,"0",TAYLOR,"12123",USA,"922140",CORRECTIONAL INSTITUTIONS,https://fdc.myflorida.com/org/facilitydir.html,2024/02/14,IMAGERY/OTHER,2024/02/14,https://fdc.myflorida.com/ci/224.html,CLOSE,"1409",0.000013018510572,0.015474065578187,"10004573",PFL146,"1243","1243","7.40000009536743"
"403","10000474",POLK WORK CAMP,10800 EVANS RD,POLK CITY,FL,"33868","6925",(863) 984-2273,STATE,OPEN,"-999",POLK,"12105",USA,"922140",CORRECTIONAL INSTITUTIONS,https://fdc.myflorida.com/org/facilitydir.html,2024/02/15,IMAGERY/OTHER,2024/02/15,https://fdc.myflorida.com/ci/580.html,NOT AVAILABLE,"-999",0.000001851817842,0.005451410290843,"10000474",PFL116,"285","285","7.5"
"404","10000445",TOMOKA WORK CAMP,3950 TIGER BAY RD,DAYTONA BEACH,FL,"32124","1098",(386) 254-2656,STATE,OPEN,"-999",VOLUSIA,"12127",USA,"922140",CORRECTIONAL INSTITUTIONS,https://fdc.myflorida.com/org/facilitydir.html,2024/02/14,IMAGERY/OTHER,2024/02/14,https://fdc.myflorida.com/ci/282.html,NOT AVAILABLE,"-999",0.000001691040325,0.005100303529881,"10000445",PFL153,"289","289","6.45000004768372"
