FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,SECURELVL,degx,degy,EBF_PFS,PM25F_PFS,TPF,EB_ET,PM25_ET,TC,CC,N_ENY_EOMI,N_PLN_EOMI,washu_mean,pm25_et_wa,pm25_2019,thresh_dif
"240","10000356",HOLMES CORRECTIONAL INSTITUTION,3142 THOMAS DR,BONIFAY,FL,"32425","0190",(850) 547-8600,STATE,OPEN,"1197",HOLMES,"12059",USA,CLOSE,-85.670159,30.755451,0.840000000000000,0.330000000000000,6668.000000000000000,"0","0","2",2.000000000000000,"0","0",7.282887693394952,"0",7.799999952316280,
"248","10000187",COFFIELD UNIT,2661 FM 2054,TENNESSEE COLONY,TX,"75884","-999",(903) 928-2211,STATE,OPEN,"4100",ANDERSON,"48001",USA,MAXIMUM,-95.892880,31.789303,0.630000000000000,0.660000000000000,7511.000000000000000,"0","0","0",0.000000000000000,"0","0",7.059722238116796,"0",7.133333206176760,
"249","10002941",LOPEZ STATE JAIL,1203 EL CIBOLO RD,EDINBURG,TX,"78542","-999",(956) 316-3810,STATE,OPEN,"1002",HIDALGO,"48215",USA,MEDIUM,-98.117007,26.417225,0.800000000000000,0.910000000000000,5133.000000000000000,"0","1","3",3.000000000000000,"1","0",8.163333320617676,"0",8.399999618530270,cejstonly
"250","10000186",MICHAEL STATE PRISON,2664 FM 2054,TENNESSEE COLONY,TX,"75886","-999",(903) 928-2311,STATE,OPEN,"2902",ANDERSON,"48001",USA,MAXIMUM,-95.903193,31.794695,0.630000000000000,0.660000000000000,7511.000000000000000,"0","0","0",0.000000000000000,"0","0",7.059722238116796,"0",7.199999809265140,
"251","10000205",POLUNSKY PRISON,3872 FM 350 S,LIVINGSTON,TX,"77351","-999",(936) 967-8082,STATE,OPEN,"2956",POLK,"48373",USA,MAXIMUM,-95.014748,30.698556,0.810000000000000,0.780000000000000,6408.000000000000000,"0","0","3",2.000000000000000,"0","0",7.200000019634472,"0",7.650000095367430,
"253","10000257",DEER RIDGE CORRECTIONAL INSTITUTION,3920 EAST ASHWOOD RD,MADRAS,OR,"97741","-999",(541) 325-5999,STATE,OPEN,"940",JEFFERSON,"41031",USA,MEDIUM,-121.051023,44.637493,0.610000000000000,0.110000000000000,2553.000000000000000,"0","0","0",0.000000000000000,"0","0",4.509131863115266,"0",4.866666793823240,
"257","10004143",ODOM CORRECTIONAL INSTITUTION,485 ODOM RD,JACKSON,NC,"27845","0036",(252) 534-5611,STATE,OPEN,"462",NORTHAMPTON,"37131",USA,MINIMUM,-77.430714,36.328499,0.960000000000000,0.140000000000000,6073.000000000000000,"1","0","4",3.000000000000000,"1","0",6.172233386778496,"0",6.099999904632570,
"274","10004146",WARREN CORRECTIONAL INSTITUTION,379 COLLINS RD,MANSON,NC,"27553","-999",(252) 456-3400,STATE,OPEN,"667",WARREN,"37185",USA,CLOSE,-78.270230,36.416820,0.840000000000000,0.240000000000000,5814.000000000000000,"0","0","3",2.000000000000000,"0","0",6.423137281455246,"0",6.400000095367430,
"285","10002998",TONOPAH CONSERVATION CAMP,"HC 76, BOX 8045",TONOPAH,NV,"89049","-999",(775) 482-6700,STATE,OPEN,"147",NYE,"32023",USA,MINIMUM,-117.107415,38.168681,0.720000000000000,0.000000000000000,2117.000000000000000,"0","0","2",2.000000000000000,"0","1",4.947803793107444,"0",4.800000190734860,
"339","10001866",WOMEN'S RESIDENTIAL CORRECTIONAL FACILITY,1917 HICKMAN ROAD,DES MOINES,IA,"50314","-999",(515) 242-6325,STATE,OPEN,"49",POLK,"19153",USA,NOT AVAILABLE,-93.644522,41.616068,0.270000000000000,0.300000000000000,3460.000000000000000,"0","0","0",0.000000000000000,"0","0",7.425000071525574,"0",7.300000190734860,
"341","10006614",STEIN FORENSIC UNIT,6161 WEST CHARLESTON BLVD,LAS VEGAS,NV,"89146","-999",(702) 486-4400,STATE,OPEN,"12",CLARK,"32003",USA,MAXIMUM,-115.226878,36.156866,0.520000000000000,0.160000000000000,4595.000000000000000,"0","0","1",1.000000000000000,"0","0",5.750000000000000,"0",5.699999809265140,
"372","10003800",ELY CONSERVATION CAMP,HC 10 BOX 10813,ELY,NV,"89301","-999",(775) 289-8430,STATE,OPEN,"125",WHITE PINE,"32033",USA,MINIMUM,-114.726357,39.041767,0.460000000000000,0.000000000000000,6321.000000000000000,"0","0","2",1.000000000000000,"0","0",4.261416335643961,"0",4.000000000000000,
"374","10003014",CASA GRANDE TRANSITIONAL HOUSING,3955 W RUSSELL RD,LAS VEGAS,NV,"89118","2316",(702) 486-9906,STATE,OPEN,"331",CLARK,"32003",USA,MINIMUM,-115.192319,36.085784,0.700000000000000,0.170000000000000,1914.000000000000000,"0","0","2",2.000000000000000,"0","0",6.600000023841858,"0",6.300000190734860,
"380","10000258",WELLS CONSERVATION CAMP,HC 67-50,WELLS,NV,"89835","-999",(775) 478-5120,STATE,OPEN,"142",ELKO,"32007",USA,MINIMUM,-114.702568,41.090238,0.680000000000000,0.000000000000000,1789.000000000000000,"0","0","0",0.000000000000000,"0","0",4.385842381929261,"0",4.250000000000000,
"389","10006328",EVERGLADES RE-ENTRY CENTER,1601 S.W. 187TH AVENUE,MIAMI,FL,"33194","-999",(305) 228-4400,STATE,OPEN,"386",MIAMI-DADE,"12086",USA,NOT AVAILABLE,-80.494485,25.749514,0.300000000000000,0.360000000000000,13848.000000000000000,"0","0","0",0.000000000000000,"0","0",7.299999952316284,"0",7.549999952316280,
"407","10000409",MAYO CORRECTIONAL INSTITUTION ANNEX,8784 US HWY 27 W,MAYO,FL,"32066","3458",(386) 294-4500,STATE,OPEN,"1104",LAFAYETTE,"12067",USA,CLOSE,-83.305142,30.138462,0.490000000000000,0.200000000000000,2574.000000000000000,"0","0","3",2.000000000000000,"0","1",6.924590175920498,"0",7.400000095367430,
"409","10000525",FORT MYERS WORK CAMP,2575 ORTIZ AVE,FORT MYERS,FL,"33994","1107",(239) 332-6915,STATE,OPEN,"115",LEE,"12071",USA,NOT AVAILABLE,-81.810403,26.631522,0.460000000000000,0.200000000000000,9106.000000000000000,"0","0","2",1.000000000000000,"0","0",7.805882397819968,"0",7.400000095367430,
"420","10006365",PHILADELPHIA CCC #4,1628-1630 NORTH 15TH STREET,PHILADELPHIA,PA,"19121","-999",(215) 560-5328,STATE,OPEN,"0",PHILADELPHIA,"42101",USA,MINIMUM,-75.159892,39.978542,0.990000000000000,0.690000000000000,2686.000000000000000,"1","0","12",7.000000000000000,"1","1",7.683211773080580,"0",7.699999809265140,
"423","10003138",WATERTOWN CORRECTIONAL FACILITY,23147 SWAN RD,WATERTOWN,NY,"13601","9340",(315) 782-7490,STATE,OPEN,"526",JEFFERSON,"36045",USA,MEDIUM,-75.907987,43.924313,0.750000000000000,0.040000000000000,4555.000000000000000,"0","0","0",0.000000000000000,"0","1",4.515562903802128,"0",4.549999952316280,
"454","10001068",PLAINFIELD CORRECTIONAL FACILITY,727 MOON RD,PLAINFIELD,IN,"46168","-999",(317) 839-2513,STATE,OPEN,"1650",HENDRICKS,"18063",USA,MEDIUM,-86.413097,39.690301,0.300000000000000,0.790000000000000,12597.000000000000000,"0","0","0",0.000000000000000,"0","0",9.052499985694883,"0",9.100000381469730,
"458","10005599",INDIANA STATE PRISON,1 PARK ROW,MICHIGAN CITY,IN,"46360","-999",(219) 874-7258,STATE,OPEN,"2300",LAPORTE,"18091",USA,MAXIMUM,-86.917317,41.703431,0.890000000000000,0.480000000000000,4307.000000000000000,"0","0","2",2.000000000000000,"0","0",7.433333290947808,"0",7.699999809265140,
"464","10001518",BAYSIDE STATE PRISON FARM,4293 STATE ROUTE 47,LEESBURG,NJ,"08327","-999",(856) 785-0040,STATE,OPEN,"512",CUMBERLAND,"34011",USA,MINIMUM,-74.961903,39.234797,,0.180000000000000,4970.000000000000000,"0","0","0",0.000000000000000,"0","0",5.740000057220460,"0",5.800000190734860,
"499","10003135",FCI RAY BROOK,128 RAY BROOK RD,RAY BROOK,NY,"12977","-999",(518) 897-4000,FEDERAL,OPEN,"628",ESSEX,"36031",USA,MEDIUM,-74.092850,44.290320,0.570000000000000,0.020000000000000,5934.000000000000000,"0","0","0",0.000000000000000,"0","0",4.341988985051108,"0",4.549999952316280,
"500","10003202",FCI OTISVILLE,TWO MILE DR,OTISVILLE,NY,"10963","-999",(845) 386-6700,FEDERAL,OPEN,"588",ORANGE,"36071",USA,MEDIUM,-74.527543,41.496619,0.700000000000000,0.140000000000000,6731.000000000000000,"0","0","0",0.000000000000000,"0","0",5.677142878941128,"0",5.850000143051150,
"513","10003175",WYOMING CORRECTIONAL FACILITY,3203 DUNBAR RD,ATTICA,NY,"14011","0501",(585) 591-1010,STATE,OPEN,"1392",WYOMING,"36121",USA,MEDIUM,-78.262004,42.849492,0.570000000000000,0.100000000000000,7117.000000000000000,"0","0","0",0.000000000000000,"0","0",5.431481533580358,"0",5.350000143051150,
"514","10003144",ORLEANS CORRECTIONAL FACILITY,3531 GAINES BASIN RD,ALBION,NY,"14411","9199",(585) 589-6820,STATE,OPEN,"993",ORLEANS,"36073",USA,MEDIUM,-78.220185,43.243761,0.900000000000000,0.130000000000000,7310.000000000000000,"1","0","2",2.000000000000000,"1","0",5.141562433540822,"0",5.300000190734860,
"527","10003145",ALBION CORRECTIONAL FACILITY,3595 STATE SCHOOL RD,ALBION,NY,"14411","9399",(585) 589-5511,STATE,OPEN,"1083",ORLEANS,"36073",USA,MEDIUM,-78.214903,43.244950,0.900000000000000,0.130000000000000,7310.000000000000000,"1","0","2",2.000000000000000,"1","0",5.141562433540822,"0",5.300000190734860,
"528","10003227",QUEENSBORO CORRECTIONAL FACILITY,47-04 VAN DAM ST,LONG ISLAND CITY,NY,"11101","3081",(718) 361-8920,STATE,OPEN,"217",QUEENS,"36081",USA,MINIMUM,-73.934482,40.742611,0.780000000000000,0.650000000000000,697.000000000000000,"0","0","11",5.000000000000000,"0","1",7.800000190734864,"0",8.000000000000000,
"529","10003124",OGDENSBURG CORRECTIONAL FACILITY,ONE CORRECTION WAY,OGDENSBURG,NY,"13669","2288",(315) 393-0281,STATE,OPEN,"584",ST. LAWRENCE,"36089",USA,MEDIUM,-75.445940,44.725028,0.660000000000000,0.160000000000000,5175.000000000000000,"0","0","0",0.000000000000000,"0","0",5.152941114762250,"0",5.300000190734860,
"530","10003196",ULSTER CORRECTIONAL FACILITY,750 BERME RD,NAPANOCH,NY,"12458","0800",(845) 647-1670,STATE,OPEN,"785",ULSTER,"36111",USA,MEDIUM,-74.356551,41.743331,0.630000000000000,0.090000000000000,4480.000000000000000,"0","0","0",0.000000000000000,"0","0",5.630275227607938,"0",6.099999904632570,
"531","10003200",SULLIVAN CORRECTIONAL FACILITY,325 RIVERSIDE DR,FALLSBURG,NY,"12733","0116",(845) 434-2080,STATE,OPEN,"439",SULLIVAN,"36105",USA,MAXIMUM,-74.590057,41.742929,0.970000000000000,0.090000000000000,3139.000000000000000,"1","0","0",0.000000000000000,"1","0",5.681538435129020,"0",5.850000143051150,
"548","10002298",ADULT DIAGNOSTIC AND TREATMENT CENTER,"8 PRODUCTION WAY, P.O. BOX 190",WOODBRIDGE,NJ,"07095","-999",(732) 574-2250,STATE,OPEN,"491",MIDDLESEX,"34023",USA,NOT AVAILABLE,-74.271581,40.589593,0.270000000000000,0.500000000000000,7199.000000000000000,"0","0","4",2.000000000000000,"0","1",7.442857197352818,"0",7.350000023841860,
"552","10000760",LAKEVIEW SHOCK INCARCERATION CF - ANNEX,9300 LAKE AVE,BROCTON,NY,"14716","-999",(716) 792-7100,STATE,OPEN,"0",CHAUTAUQUA,"36013",USA,MEDIUM,-79.437585,42.404438,0.750000000000000,0.210000000000000,4649.000000000000000,"0","0","1",1.000000000000000,"0","0",5.900000034679066,"0",6.400000095367430,
"557","10004018",BAYSIDE STATE PRISON,4293 RTE 47,LEESBURG,NJ,"08327","-999",(856) 785-0040,STATE,OPEN,"1143",CUMBERLAND,"34011",USA,MEDIUM,-74.951449,39.243797,,0.180000000000000,4970.000000000000000,"0","0","0",0.000000000000000,"0","0",5.740000057220460,"0",5.649999856948850,
"558","10002305",BAYSIDE STATE PRISON - ANCORA,301 SPRING GARDEN RD,HAMMONDTON,NJ,"08037","-999",(856) 785-0040,STATE,OPEN,"254",CAMDEN,"34007",USA,MINIMUM,-74.865463,39.681516,0.570000000000000,0.300000000000000,4750.000000000000000,"0","0","0",0.000000000000000,"0","0",5.785000014305116,"0",5.699999809265140,
"559","10003996",EAST JERSEY STATE PRISON,1100 WOODBRIDGE RD,RAHWAY,NJ,"07065","-999",(732) 499-5010,STATE,OPEN,"1203",MIDDLESEX,"34023",USA,MAXIMUM,-74.269597,40.590564,0.270000000000000,0.500000000000000,7199.000000000000000,"0","0","4",2.000000000000000,"0","1",7.442857197352818,"0",7.350000023841860,
"560","10004002",CRAF JONES FARM,721 BEAR TAVERN RD,TRENTON,NJ,"08628","-999",(609) 984-6000,STATE,OPEN,"149",MERCER,"34021",USA,MINIMUM,-74.829314,40.274645,0.320000000000000,0.390000000000000,5899.000000000000000,"0","0","0",0.000000000000000,"0","1",6.682352935566622,"0",6.450000047683720,
"562","10003993",EDNA MAHAN CORRECTIONAL FACILITY FOR WOMEN,"30 COUNTY RD 513, P.O. BOX 4004",CLINTON,NJ,"08809","-999",(908) 735-7111,STATE,OPEN,"646",HUNTERDON,"34019",USA,MAXIMUM,-74.934574,40.628887,0.240000000000000,0.390000000000000,5560.000000000000000,"0","0","0",0.000000000000000,"0","0",6.273214263575418,"0",6.500000000000000,
"567","10001516",MID-STATE CORRECTIONAL FACILITY,866 RANGE RD,WRIGHTSTOWN,NJ,"08562","-999",(609) 723-4221,STATE,OPEN,"-999",BURLINGTON,"34005",USA,MEDIUM,-74.583393,39.998564,0.410000000000000,0.230000000000000,3248.000000000000000,"0","0","0",0.000000000000000,"0","1",5.757692318696242,"0",6.000000000000000,
"570","10004003",NEW JERSEY STATE PRISON,600 CASS ST,TRENTON,NJ,"08608","-999",(609) 292-9700,STATE,OPEN,"1587",MERCER,"34021",USA,MAXIMUM,-74.756369,40.207273,,0.350000000000000,485.000000000000000,"0","0","4",4.000000000000000,"0","1",7.199999809265138,"0",7.199999809265140,
"571","10003990",NORTHERN STATE PRISON,168 FRONTAGE RD,NEWARK,NJ,"07114","-999",(973) 465-0068,STATE,OPEN,"2378",ESSEX,"34013",USA,MEDIUM,-74.173518,40.712792,,0.640000000000000,2594.000000000000000,"0","0","7",4.000000000000000,"0","1",7.833333492279054,"0",7.700000047683720,
"587","10002281",CAYUGA CORRECTIONAL FACILITY,2202 STATE ROUTE 38A,MORAVIA,NY,"13118","1150",(315) 497-1110,STATE,OPEN,"926",CAYUGA,"36011",USA,MEDIUM,-76.396192,42.721999,0.840000000000000,0.030000000000000,4712.000000000000000,"0","0","0",0.000000000000000,"0","0",5.195305150439482,"0",4.800000190734860,
"588","10004916",RIVERSIDE RESIDENTIAL CENTER,1415 N PENNSYLVANIA ST,INDIANAPOLIS,IN,"46202","-999",NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,"-999",MARION,"18097",USA,MINIMUM,-86.155354,39.786470,0.460000000000000,0.860000000000000,2421.000000000000000,"0","0","0",0.000000000000000,"0","1",9.899999618530273,"1",9.899999618530270,washuonly
"616","10004241",FCI YAZOO CITY LOW CAMP,2225 HALEY BARBOUR PARKWAY,YAZOO CITY,MS,"39194","-999",(662) 751-4800,FEDERAL,OPEN,"179",YAZOO,"28163",USA,MINIMUM,-90.425564,32.878964,0.890000000000000,0.660000000000000,8666.000000000000000,"0","0","3",2.000000000000000,"0","0",7.117718120549350,"0",7.599999904632570,
"620","10006598",ANN KLEIN FORENSIC CENTER,STUYVESANT AVENUE,WEST TRENTON,NJ,"08628","-999",(609) 633-0900,STATE,OPEN,"193",MERCER,"34021",USA,NOT AVAILABLE,-74.801885,40.247051,0.460000000000000,0.370000000000000,4488.000000000000000,"0","0","2",2.000000000000000,"0","0",6.900000095367432,"0",6.900000095367430,
"631","10000754",FIVE POINTS CORRECTIONAL FACILITY,6600 STATE ROUTE 96,ROMULUS,NY,"14541","-999",(607) 869-5111,STATE,OPEN,"1259",SENECA,"36099",USA,MAXIMUM,-76.840400,42.711978,0.910000000000000,0.040000000000000,5947.000000000000000,"1","0","3",3.000000000000000,"1","1",5.719291332199818,"0",5.649999856948850,
"632","10003235",MCC NEW YORK,150 PARK ROW,NEW YORK,NY,"10007","-999",(646) 836-6300,FEDERAL,OPEN,"767",NEW YORK,"36061",USA,MAXIMUM,-74.001563,40.713209,0.380000000000000,0.680000000000000,5924.000000000000000,"0","0","9",5.000000000000000,"0","1",8.200267612852276,"0",8.199999809265140,
"633","10006320",QUEENS DETENTION FACILITY,182-22 150TH AVENUE,JAMAICA,NY,"11413","-999",(718) 553-5420,FEDERAL,OPEN,"-999",QUEENS,"36081",USA,NOT AVAILABLE,-73.765086,40.656907,0.700000000000000,0.370000000000000,4930.000000000000000,"0","0","0",0.000000000000000,"0","0",8.200000286102297,"0",8.600000381469730,
"636","10000763",SHAWANGUNK CORRECTIONAL FACILITY,200 QUICK RD,WALLKILL,NY,"12589","0750",(845) 895-2081,STATE,OPEN,"541",ULSTER,"36111",USA,MAXIMUM,-74.163172,41.636473,0.680000000000000,0.150000000000000,4279.000000000000000,"0","0","0",0.000000000000000,"0","0",5.740624949336052,"0",5.699999809265140,
"637","10001496",ALTONA CORRECTIONAL FACILITY,555 DEVILS DEN RD,ALTONA,NY,"12910","3000",(518) 236-7841,STATE,OPEN,"739",CLINTON,"36019",USA,MEDIUM,-73.659950,44.891321,0.800000000000000,0.080000000000000,6473.000000000000000,"0","0","2",2.000000000000000,"0","1",4.699099084493276,"0",4.750000000000000,
"641","10004921",FCI TERRE HAUTE,4200 BUREAU RD N,TERRE HAUTE,IN,"47808","-999",(812) 238-1531,FEDERAL,OPEN,"966",VIGO,"18167",USA,MEDIUM,-87.451172,39.417028,0.570000000000000,0.620000000000000,8963.000000000000000,"0","0","0",0.000000000000000,"0","0",8.550819647116739,"0",8.699999809265140,
"644","10004923",USP TERRE HAUTE,4700 BUREAU RD S,TERRE HAUTE,IN,"47802","-999",(812) 244-4400,FEDERAL,OPEN,"1355",VIGO,"18167",USA,MAXIMUM,-87.454525,39.407581,0.570000000000000,0.620000000000000,8963.000000000000000,"0","0","0",0.000000000000000,"0","0",8.550819647116739,"0",8.800000190734860,
"646","10001504",GREEN HAVEN CORRECTIONAL FACILITY,594 STATE ROUTE 216,STORMVILLE,NY,"12582","0010",(845) 221-2711,STATE,OPEN,"2038",DUTCHESS,"36027",USA,MAXIMUM,-73.716524,41.580370,0.180000000000000,0.150000000000000,2106.000000000000000,"0","0","0",0.000000000000000,"0","0",5.699999809265138,"0",5.699999809265140,
"648","10005600",INDIANA STATE PRISON ISO,201 WOODLAWN AVENUE,MICHIGAN CITY,IN,"46360","-999",(219) 874-7258,STATE,OPEN,"280",LAPORTE,"18091",USA,MEDIUM,-86.917847,41.701407,0.890000000000000,0.480000000000000,4307.000000000000000,"0","0","2",2.000000000000000,"0","0",7.433333290947808,"0",7.699999809265140,
"649","10003140",WASHINGTON CORRECTIONAL FACILITY,72 LOCK 11 LANE,COMSTOCK,NY,"12821","0180",(518) 639-4486,STATE,OPEN,"868",WASHINGTON,"36115",USA,MEDIUM,-73.429535,43.468449,0.800000000000000,0.110000000000000,6052.000000000000000,"0","0","0",0.000000000000000,"0","0",4.897791806831722,"0",4.775000095367430,
"650","10001065",INDIANA WOMEN'S PRISON,2596 GIRLS SCHOOL ROAD,INDIANAPOLIS,IN,"46214","-999",(317) 244-3387,STATE,OPEN,"609",MARION,"18097",USA,MAXIMUM,-86.291898,39.800940,0.350000000000000,0.840000000000000,3863.000000000000000,"0","0","0",0.000000000000000,"0","0",9.600000000000000,"1",9.549999952316281,washuonly
"654","10003141",GREAT MEADOW CORRECTIONAL FACILITY,11739 STATE ROUTE 22,COMSTOCK,NY,"12821","0051",(518) 639-5516,STATE,OPEN,"1649",WASHINGTON,"36115",USA,MAXIMUM,-73.432999,43.457588,0.800000000000000,0.110000000000000,6052.000000000000000,"0","0","0",0.000000000000000,"0","0",4.897791806831722,"0",4.800000190734860,
"659","10003128",CLINTON CORRECTIONAL FACILITY - ANNEX,1074 RT. 374,DANNEMORA,NY,"12929","-999",(518) 492-2511,STATE,OPEN,"839",CLINTON,"36019",USA,MAXIMUM,-73.717113,44.724849,0.860000000000000,0.050000000000000,7056.000000000000000,"0","0","0",0.000000000000000,"0","1",4.574261588889336,"0",4.500000000000000,
"660","10000745",AUBURN CORRECTIONAL FACILITY,135 STATE ST,AUBURN,NY,"13024","9000",(315) 253-8401,STATE,OPEN,"1601",CAYUGA,"36011",USA,MAXIMUM,-76.574225,42.934589,0.850000000000000,0.040000000000000,4177.000000000000000,"0","0","3",2.000000000000000,"0","0",5.566666603088380,"0",5.599999904632570,
"664","10000744",CAPE VINCENT CORRECTIONAL FACILITY,36560 STATE ROUTE 12E,CAPE VINCENT,NY,"13618","0599",(315) 654-4100,STATE,OPEN,"856",JEFFERSON,"36045",USA,MEDIUM,-76.187976,44.197833,0.930000000000000,0.090000000000000,7134.000000000000000,"1","0","0",0.000000000000000,"1","0",4.590909095393454,"0",4.800000190734860,
"666","10004895",CHAIN O'LAKES CORRECTIONAL FACILITY,3516 E 75 SOUTH,ALBION,IN,"46701","-999",(260) 636-3114,STATE,OPEN,"119",NOBLE,"18113",USA,MINIMUM,-85.353103,41.337010,0.680000000000000,0.530000000000000,6609.000000000000000,"0","0","0",0.000000000000000,"0","0",7.926943121796446,"0",7.900000095367430,
"667","10004920",EDINBURGH CORRECTIONAL FACILITY,"P.O. BOX 470, 23RD & SCHOOLHOUSE RD",EDINBURGH,IN,"46124","-999",(812) 526-8434,STATE,OPEN,"315",JOHNSON,"18081",USA,MINIMUM,-86.038603,39.351453,0.490000000000000,0.640000000000000,8106.000000000000000,"0","0","0",0.000000000000000,"0","1",7.665641085306804,"0",7.766666571299240,
"668","10003131",BARE HILL CORRECTIONAL FACILITY,181 BRAND RD,MALONE,NY,"12953","0020",(518) 483-8411,STATE,OPEN,"1424",FRANKLIN,"36033",USA,MEDIUM,-74.324156,44.880364,0.750000000000000,0.060000000000000,5745.000000000000000,"0","0","0",0.000000000000000,"0","0",4.785937462002040,"0",5.199999809265140,
"676","10002290",BEDFORD HILLS CORRECTIONAL FACILITY,247 HARRIS RD,BEDFORD HILLS,NY,"10507","2400",(914) 241-3100,STATE,OPEN,"823",WESTCHESTER,"36119",USA,MAXIMUM,-73.680785,41.238403,,0.310000000000000,1288.000000000000000,"0","0","0",0.000000000000000,"0","0",5.776328288384604,"0",5.775000095367430,
"677","10003127",CLINTON CORRECTIONAL FACILITY - MAIN,1156 RT. 374,DANNEMORA,NY,"12929","2000",(518) 492-2511,STATE,OPEN,"2652",CLINTON,"36019",USA,MAXIMUM,-73.721319,44.723556,0.860000000000000,0.050000000000000,7056.000000000000000,"0","0","0",0.000000000000000,"0","1",4.574261588889336,"0",4.500000000000000,
