,FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,GlobalID,CreationDate,Creator,EditDate,Editor,SHAPE_Length,SHAPE_Area,geometry
210,211,10001925,GOODMAN CORRECTIONAL INSTITUTION,4556 BROAD RIVER RD,COLUMBIA,SC,29210,-999,(803) 896-8565,STATE,OPEN,436.0,RICHLAND,45079,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.doc.sc.gov/research/statistics.html,2018-01-08 00:00:00+00:00,IMAGERY/OTHER,2020-02-07 00:00:00+00:00,http://www.doc.sc.gov/institutions/institutions.html,MINIMUM,552.0,0.00511740907059,{BB7889EA-8D9B-4AB3-B316-B2601719F8A6},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.005117409070590153,8.61657336303e-07,POINT (-81.10785566491927 34.07620779942971)
227,228,10001590,NOTTOWAY WORK CENTER,2892 SCHUTT RD,BURKEVILLE,VA,23922,-999,(434) 767-5543,STATE,OPEN,195.0,NOTTOWAY,51135,USA,922140,CORRECTIONAL INSTITUTIONS,https://vadoc.virginia.gov/facilities-and-offices/,2017-06-02 00:00:00+00:00,IMAGERY/OTHER,2020-02-24 00:00:00+00:00,https://vadoc.virginia.gov/facilities-and-offices/,MINIMUM,200.0,0.00491705427028,{2E784CE7-9F01-4D2F-8AB6-CCC4B64CE34E},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.0049170542702809865,1.48904147654e-06,POINT (-78.17236340099224 37.18508902976284)
239,240,10000356,HOLMES CORRECTIONAL INSTITUTION,3142 THOMAS DR,BONIFAY,FL,32425,0190,(850) 547-8600,STATE,OPEN,1197.0,HOLMES,12059,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.dc.state.fl.us/pub/pop/, http://www.dc.state.fl.us/org/facilitydir.html",2017-09-30 00:00:00+00:00,IMAGERY/OTHER,2019-12-12 00:00:00+00:00,http://www.dc.state.fl.us/org/facilitydir.html,CLOSE,1185.0,0.0145587674236,{87361FD5-B171-4C19-9253-E9D1EF66B32B},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.014558767423558409,1.30256730577e-05,POINT (-85.67015940397152 30.755450640596802)
247,248,10000187,COFFIELD UNIT,2661 FM 2054,TENNESSEE COLONY,TX,75884,-999,(903) 928-2211,STATE,OPEN,4100.0,ANDERSON,48001,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.texastribune.org/library/data/texas-prisons/units/, http://www.tdcj.state.tx.us/unit_directory/index.html",2016-09-15 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,http://www.tdcj.state.tx.us/unit_directory/index.html,MAXIMUM,4139.0,0.025718465731,{549609C5-B2BC-4D39-B218-16020D801F03},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.025718465730985247,2.67048533442e-05,POINT (-95.89287962985019 31.789303305179157)
248,249,10002941,LOPEZ STATE JAIL,1203 EL CIBOLO RD,EDINBURG,TX,78542,-999,(956) 316-3810,STATE,OPEN,1002.0,HIDALGO,48215,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.texastribune.org/library/data/texas-prisons/units/, http://www.tdcj.state.tx.us/unit_directory/index.html",2016-09-15 00:00:00+00:00,IMAGERY/OTHER,2020-02-25 00:00:00+00:00,http://www.tdcj.state.tx.us/unit_directory/index.html,MEDIUM,1100.0,0.00981331467072,{1837FB3A-9133-4F2C-9FC6-1005A6316867},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.009813314670719346,6.08938318369e-06,POINT (-98.11700702328949 26.41722497739445)
249,250,10000186,MICHAEL STATE PRISON,2664 FM 2054,TENNESSEE COLONY,TX,75886,-999,(903) 928-2311,STATE,OPEN,2902.0,ANDERSON,48001,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.texastribune.org/library/data/texas-prisons/units/, http://www.tdcj.state.tx.us/unit_directory/index.html",2016-09-15 00:00:00+00:00,IMAGERY/OTHER,2020-02-25 00:00:00+00:00,http://www.tdcj.state.tx.us/unit_directory/index.html,MAXIMUM,3305.0,0.0214573704545,{8DEECE2E-1044-40AD-B3D2-C1FB72EFD32E},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.02145737045450226,2.089739704e-05,POINT (-95.90319339118034 31.794695002000285)
250,251,10000205,POLUNSKY PRISON,3872 FM 350 S,LIVINGSTON,TX,77351,-999,(936) 967-8082,STATE,OPEN,2956.0,POLK,48373,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.texastribune.org/library/data/texas-prisons/units/, http://www.tdcj.state.tx.us/unit_directory/index.html",2016-09-15 00:00:00+00:00,IMAGERY/OTHER,2020-02-27 00:00:00+00:00,http://www.tdcj.state.tx.us/unit_directory/index.html,MAXIMUM,2984.0,0.0180705605544,{580B220B-8804-488F-B485-A8FBAF37458C},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.018070560554382414,2.26954790817e-05,POINT (-95.01474788349462 30.698556421688686)
252,253,10000257,DEER RIDGE CORRECTIONAL INSTITUTION,3920 EAST ASHWOOD RD,MADRAS,OR,97741,-999,(541) 325-5999,STATE,OPEN,940.0,JEFFERSON,41031,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.oregon.gov/DOC/RESRCH/pages/index.aspx, http://www.oregon.gov/DOC/OPS/pages/index.aspx",2018-01-01 00:00:00+00:00,IMAGERY/OTHER,2020-01-24 00:00:00+00:00,http://www.oregon.gov/DOC/OPS/pages/index.aspx,MEDIUM,1867.0,0.0252535809422,{E57E98FC-FB30-4E35-8C0C-43D2B1B1D72F},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.0252535809421715,2.28337044923e-05,POINT (-121.05102338509057 44.637492994111355)
256,257,10004143,ODOM CORRECTIONAL INSTITUTION,485 ODOM RD,JACKSON,NC,27845,0036,(252) 534-5611,STATE,OPEN,462.0,NORTHAMPTON,37131,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Odom-Correctional-Institution,2017-10-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Odom-Correctional-Institution,MINIMUM,352.0,0.00998584417601,{E3970DCA-E580-4054-98BD-A13C5D230340},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.009985844176005752,4.91836644751e-06,POINT (-77.43071447518376 36.328498593189096)
273,274,10004146,WARREN CORRECTIONAL INSTITUTION,379 COLLINS RD,MANSON,NC,27553,-999,(252) 456-3400,STATE,OPEN,667.0,WARREN,37185,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Warren-Correctional-Institution,2017-10-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Warren-Correctional-Institution,CLOSE,809.0,0.0165040505897,{3A1EE4CD-2C97-487A-887C-790A641CF85E},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.016504050589663543,1.40044422527e-05,POINT (-78.27022978126938 36.41681967660573)
284,285,10002998,TONOPAH CONSERVATION CAMP,"HC 76, BOX 8045",TONOPAH,NV,89049,-999,(775) 482-6700,STATE,OPEN,147.0,NYE,32023,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.nv.gov/Facilities/TCC_Facility/,2016-12-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-03 00:00:00+00:00,http://doc.nv.gov/Facilities/TCC_Facility/,MINIMUM,152.0,0.00602366716985,{90D0AD18-8A6D-46C0-810F-F3DBE70CD2E9},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.006023667169845452,2.05984445791e-06,POINT (-117.10741523438539 38.16868098079258)
338,339,10001866,WOMEN'S RESIDENTIAL CORRECTIONAL FACILITY,1917 HICKMAN ROAD,DES MOINES,IA,50314,-999,(515) 242-6325,STATE,OPEN,49.0,POLK,19153,USA,922140,CORRECTIONAL INSTITUTIONS,http://fifthdcs.com/addresses.cfm?location=womens,2016-07-01 00:00:00+00:00,IMAGERY/OTHER,2019-12-11 00:00:00+00:00,https://doc.iowa.gov/about-us/about-community-based-corrections/5th-judicial-district,NOT AVAILABLE,48.0,0.002691400232,{929B4162-6A53-4E45-A3F8-E914EB1CE390},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.002691400231998674,3.98585929821e-07,POINT (-93.64452158985323 41.616067563428906)
340,341,10006614,STEIN FORENSIC UNIT,6161 WEST CHARLESTON BLVD,LAS VEGAS,NV,89146,-999,(702) 486-4400,STATE,OPEN,12.0,CLARK,32003,USA,922140,CORRECTIONAL INSTITUTIONS,http://dhhs.nv.gov/Reports/Press_Releases/2015/State_Opens_Stein_Forensic_Unit_in_Las_Vegas/,2015-11-23 00:00:00+00:00,IMAGERY/OTHER,2020-02-03 00:00:00+00:00,http://dpbh.nv.gov/Programs/ClinicalBehavioralServ/Clinical_Behavioral_Services_-_Home/,MAXIMUM,47.0,0.00209936535758,{72DC60F6-2A19-4DF4-9A06-5905110109C6},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.0020993653575790312,3.24626866376e-07,POINT (-115.22687813642881 36.15686596182551)
371,372,10003800,ELY CONSERVATION CAMP,HC 10 BOX 10813,ELY,NV,89301,-999,(775) 289-8430,STATE,OPEN,125.0,WHITE PINE,32033,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.nv.gov/Facilities/ECC_Facility/,2016-12-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-03 00:00:00+00:00,http://doc.nv.gov/Facilities/ECC_Facility/,MINIMUM,150.0,0.00477119172721,{0B1E34EA-CA6D-4599-9B66-7385AA4AC05D},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.004771191727211539,1.20893857147e-06,POINT (-114.72635693124178 39.04176694332989)
373,374,10003014,CASA GRANDE TRANSITIONAL HOUSING,3955 W RUSSELL RD,LAS VEGAS,NV,89118,2316,(702) 486-9906,STATE,OPEN,331.0,CLARK,32003,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.nv.gov/layouts/Page_Style_1.aspx?id=92214,2016-12-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-03 00:00:00+00:00,http://doc.nv.gov/layouts/Page_Style_1.aspx?id=92214,MINIMUM,400.0,0.00294554018,{7768AF2D-401B-4958-A9F1-6DEBEEC5CDA3},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.0029455401800031434,2.87837515877e-07,POINT (-115.19231877699835 36.08578404331507)
379,380,10000258,WELLS CONSERVATION CAMP,HC 67-50,WELLS,NV,89835,-999,(775) 478-5120,STATE,OPEN,142.0,ELKO,32007,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.nv.gov/Facilities/WCC_Facility/,2016-12-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-03 00:00:00+00:00,http://doc.nv.gov/Facilities/WCC_Facility/,MINIMUM,150.0,0.0162332910629,{460990CC-97D8-4104-9EFD-16C7E9D0BA31},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.016233291062946475,1.50376758108e-05,POINT (-114.70256823925934 41.090237835519694)
388,389,10006328,EVERGLADES RE-ENTRY CENTER,1601 S.W. 187TH AVENUE,MIAMI,FL,33194,-999,(305) 228-4400,STATE,OPEN,386.0,MIAMI-DADE,12086,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dc.state.fl.us/pub/pop/,2017-09-30 00:00:00+00:00,IMAGERY/OTHER,2019-12-12 00:00:00+00:00,http://www.dc.state.fl.us/ci/index.html,NOT AVAILABLE,-999.0,0.00593795491411,{8289DC8C-BE93-4237-9A3C-C856DF225DE5},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.005937954914107501,2.20292169508e-06,POINT (-80.49448479306957 25.749513926224257)
406,407,10000409,MAYO CORRECTIONAL INSTITUTION ANNEX,8784 US HWY 27 W,MAYO,FL,32066,3458,(386) 294-4500,STATE,OPEN,1104.0,LAFAYETTE,12067,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.dc.state.fl.us/pub/pop/, http://www.dc.state.fl.us/org/facilitydir.html",2017-09-30 00:00:00+00:00,IMAGERY/OTHER,2019-12-12 00:00:00+00:00,http://www.dc.state.fl.us/org/facilitydir.html,CLOSE,1345.0,0.0176670804726,{70661D4F-0E0A-48FD-B05D-F0C9AAA60BED},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.017667080472640696,1.61973654451e-05,POINT (-83.30514217859948 30.13846251037344)
408,409,10000525,FORT MYERS WORK CAMP,2575 ORTIZ AVE,FORT MYERS,FL,33994,1107,(239) 332-6915,STATE,OPEN,115.0,LEE,12071,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dc.state.fl.us/pub/pop/,2017-09-30 00:00:00+00:00,IMAGERY/OTHER,2019-12-12 00:00:00+00:00,http://www.dc.state.fl.us/ci/index.html,NOT AVAILABLE,-999.0,0.00375548524336,{5F2A8B97-0FDA-402B-BDB9-91E59B55CF9B},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.003755485243363364,7.53804864749e-07,POINT (-81.81040278691115 26.63152173168985)
419,420,10006365,PHILADELPHIA CCC #4,1628-1630 NORTH 15TH STREET,PHILADELPHIA,PA,19121,-999,(215) 560-5328,STATE,OPEN,0.0,PHILADELPHIA,42101,USA,922140,CORRECTIONAL INSTITUTIONS,"https://secure.ssa.gov/poms.nsf/lnx/0500520009PHI, https://www.cor.pa.gov/Facilities/CommunityCorrections/Documents/Region%201.pdf",2017-10-10 00:00:00+00:00,IMAGERY/OTHER,2020-01-30 00:00:00+00:00,http://www.cor.pa.gov/Facilities/CommunityCorrections/Pages/default.aspx#.VmXGTrgrJaQ,MINIMUM,-999.0,0.000783612759035,{3F80FC16-3336-4E3A-A6AB-2BF9738C2AE6},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.0007836127590350511,3.12454040569e-08,POINT (-75.15989189368237 39.978541773569056)
422,423,10003138,WATERTOWN CORRECTIONAL FACILITY,23147 SWAN RD,WATERTOWN,NY,13601,9340,(315) 782-7490,STATE,OPEN,526.0,JEFFERSON,36045,USA,922140,CORRECTIONAL INSTITUTIONS,https://doccs.ny.gov/location/watertown-correctional-facility,2016-09-23 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://doccs.ny.gov/location/watertown-correctional-facility,MEDIUM,670.0,0.0196421144045,{9BC6C1F5-B3C3-4CA2-87FA-0E46F94562AC},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.019642114404475886,1.44758007458e-05,POINT (-75.90798725605072 43.924312778664046)
453,454,10001068,PLAINFIELD CORRECTIONAL FACILITY,727 MOON RD,PLAINFIELD,IN,46168,-999,(317) 839-2513,STATE,OPEN,1650.0,HENDRICKS,18063,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.in.gov/idoc/2405.htm,2017-10-01 00:00:00+00:00,IMAGERY/OTHER,2019-12-11 00:00:00+00:00,http://www.in.gov/idoc/2332.htm,MEDIUM,1696.0,0.0209290580421,{1BF15890-0804-4815-92D0-037084B25A32},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.020929058042113577,2.5462161403e-05,POINT (-86.41309677382193 39.690301368112536)
457,458,10005599,INDIANA STATE PRISON,1 PARK ROW,MICHIGAN CITY,IN,46360,-999,(219) 874-7258,STATE,OPEN,2300.0,LAPORTE,18091,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.in.gov/idoc/2413.htm,2017-10-01 00:00:00+00:00,IMAGERY/OTHER,2019-12-11 00:00:00+00:00,http://www.in.gov/idoc/2332.htm,MAXIMUM,2300.0,0.0133075457307,{A3518D64-0811-44E5-9C8E-8FBD4E5759E2},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.01330754573071606,1.10667043682e-05,POINT (-86.91731690251945 41.70343089356043)
463,464,10001518,BAYSIDE STATE PRISON FARM,4293 STATE ROUTE 47,LEESBURG,NJ,08327,-999,(856) 785-0040,STATE,OPEN,512.0,CUMBERLAND,34011,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.state.nj.us/corrections/pages/offender_stats.html,2020-02-04 00:00:00+00:00,IMAGERY/OTHER,2020-02-04 00:00:00+00:00,https://www.state.nj.us/corrections/pages/index.shtml,MINIMUM,-999.0,0.0264218176428,{22034B3A-2E95-40CC-A242-15428D65EFEF},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.02642181764279083,2.01731874083e-05,POINT (-74.96190324406254 39.234796510112076)
498,499,10003135,FCI RAY BROOK,128 RAY BROOK RD,RAY BROOK,NY,12977,-999,(518) 897-4000,FEDERAL,OPEN,628.0,ESSEX,36031,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/rbk/,2016-02-16 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.bop.gov/locations/institutions/rbk/,MEDIUM,749.0,0.0161743207533,{222CBE7E-480E-4A6F-BBA1-F027EC015BA5},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.016174320753272832,1.6792719571e-05,POINT (-74.09284984945616 44.29032003290848)
499,500,10003202,FCI OTISVILLE,TWO MILE DR,OTISVILLE,NY,10963,-999,(845) 386-6700,FEDERAL,OPEN,588.0,ORANGE,36071,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/otv/,2016-02-16 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.bop.gov/locations/institutions/otv/,MEDIUM,897.0,0.0171322777021,{46A2E5BC-46A7-41C1-B0F5-BE79639055CA},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.017132277702071635,1.44143183145e-05,POINT (-74.52754345433183 41.496618943313585)
512,513,10003175,WYOMING CORRECTIONAL FACILITY,3203 DUNBAR RD,ATTICA,NY,14011,0501,(585) 591-1010,STATE,OPEN,1392.0,WYOMING,36121,USA,922140,CORRECTIONAL INSTITUTIONS,https://doccs.ny.gov/location/wyoming-correctional-facility,2017-04-14 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://doccs.ny.gov/location/wyoming-correctional-facility,MEDIUM,1714.0,0.0313337827298,{B54D5DDC-B349-4113-BE06-83D5A3264B4C},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.03133378272979181,3.02186195923e-05,POINT (-78.26200417317321 42.84949173010203)
